datetimeobject,gradient,gradientLCI,gradientUCI,pvalue,rsquared,intercept,STUSPS,prevailingPTR,continuousPTR,rank,prevailingTPC
2021-01-01,0.999999999999996,0.9999999999961633,1.0000000000036307,3.656903843550355e-190,1.0,-20846.02280432127,HI,99.9999999999996,6.971913777724545,1.0,1.000000000000004
2021-01-01,0.9999999999999953,0.999999999999599,1.0000000000003753,7.280828326540635e-206,1.0,-9580.504581841546,PR,99.99999999999953,20.117172202409233,2.0,1.0000000000000047
2021-01-01,0.4606285159177579,0.4230945324115651,0.5458763411244316,4.616277441615806e-18,0.993586305610407,-6815.90341514747,ID,46.06285159177579,24.7570830664479,3.0,2.170946794311239
2021-01-01,0.40076649654426266,0.38068582314510835,0.49470120825635955,1.717776503218554e-21,0.9972552047751919,-6974.575649694947,MO,40.07664965442627,19.336295676212355,4.0,2.4952185589933786
2021-01-01,0.4004120981502638,0.38706820030159755,0.4730933193873241,1.3114955260749394e-24,0.9987321936633208,-7230.217985857607,PA,40.04120981502638,16.51793770665297,5.0,2.49742703734373
2021-01-01,0.3973372105403521,0.386347695057379,0.4882725926077561,4.23312934609004e-22,0.9978116480702418,-7992.661523788858,IN,39.73372105403521,19.538869207279795,6.0,2.516753964825159
2021-01-01,0.3888261056971638,0.364272846585721,0.4716697955560662,9.176657432982937e-22,0.9971250600195484,-5179.011615384501,SD,38.88261056971638,26.611206526406185,7.0,2.571843776299443
2021-01-01,0.38116984469729354,0.35388109161976894,0.46960535053842556,1.1976543395831793e-21,0.997027770772841,-7108.682808870824,NV,38.11698446972935,19.441216790725594,8.0,2.6235023937797366
2021-01-01,0.37086808891991396,0.34477451028299083,0.45439718003139007,2.2976972540999553e-22,0.9963108377287462,-7365.188256788821,AL,37.086808891991396,18.693971930445077,9.0,2.6963765011767893
2021-01-01,0.35439152478091496,0.3405143433198799,0.42932945926613153,3.3384909600534353e-23,0.9980999695277468,-6937.52231023238,NE,35.43915247809149,19.67753466319514,10.0,2.8217379087104315
2021-01-01,0.3536701164329423,0.23447211086745648,0.3790354848522009,3.7045265995368824e-16,0.9858238511696058,-4769.860231886578,WY,35.367011643294234,21.775842539607815,11.0,2.8274936262238746
2021-01-01,0.3492598246885319,0.33285700873600266,0.4816610414478987,1.6833636795771697e-19,0.9944855584960101,-5399.258001044756,IA,34.92598246885319,20.501087358204916,12.0,2.8631979097275067
2021-01-01,0.34891313441706184,0.30742444285961784,0.5802589078860843,1.4289478008120916e-16,0.9871935450732071,-5225.400245080265,ND,34.89131344170618,24.434734598020285,13.0,2.866042866717316
2021-01-01,0.33714186603672935,0.3203690050418884,0.42582463327841463,6.649506256939741e-21,0.9963176729847117,-8022.492747521574,UT,33.714186603672935,17.517033404407442,14.0,2.9661104144540054
2021-01-01,0.3328710430587172,0.29737188927715885,0.3851512947255886,2.7196787111691594e-19,0.9941448809735074,-3800.120398950203,KS,33.287104305871715,22.49320004029606,15.0,3.004166390717272
2021-01-01,0.32576303364714343,0.2927491167168318,0.4047077370707666,4.8310363154701485e-21,0.9964618014034952,-7143.846481597757,WI,32.57630336471434,18.145805985595125,16.0,3.0697160104518475
2021-01-01,0.32197030835126206,0.2631150394848401,0.3750762319496001,4.87553378621286e-21,0.9964577448431015,-5528.826847290404,AZ,32.197030835126206,18.251479948797677,17.0,3.1058764552569347
2021-01-01,0.2764089649861774,0.25585235505426274,0.34702177639312376,1.1299618893708152e-21,0.9970493047376339,-8252.869762253065,RI,27.64089649861774,13.880554849726881,18.0,3.6178276636215756
2021-01-01,0.2752306955810277,0.12929441323001623,1.0000000000008626,2.214059784101783e-11,0.8862944170883243,-5383.203531245341,MS,27.52306955810277,16.224283901566366,19.0,3.633315673198961
2021-01-01,0.25651908049458183,0.248836116428078,0.30164131431756025,1.1905386175170118e-24,0.998747434716528,-7554.50011327016,DE,25.651908049458182,11.342308623936365,20.0,3.898345487875402
2021-01-01,0.2470101431953745,0.2234339197749529,0.32346127150529635,7.3327486432742e-20,0.9954181082967608,-3437.8908055850043,CO,24.70101431953745,15.611994287905143,21.0,4.048416745416979
2021-01-01,0.24488861038010595,0.21747595768695893,0.31131236066973134,3.010271168153382e-19,0.9940701334865383,-6209.277342862431,NH,24.488861038010594,8.4084198786138,22.0,4.083489217599142
2021-01-01,0.23202437129171255,0.21467698375676217,0.28940176349456687,3.776025928011612e-20,0.9966803623220614,-3379.70492884741,FL,23.202437129171255,14.938995532986155,23.0,4.309892079150385
2021-01-01,0.22804703415727234,0.21351254110485426,0.2937781871529394,7.450594248182999e-19,0.9948748617219508,-7951.290678465655,MA,22.804703415727236,9.301911590459824,24.0,4.385060317470962
2021-01-01,0.20728651719766178,0.18747911469181952,0.2700540908525556,2.7767662230940062e-21,0.9961643148351116,-8589.057513460735,TN,20.728651719766177,10.396810238307259,25.0,4.824240445153662
2021-01-01,0.1872057765302516,0.17226572159077314,0.24263955810979426,5.6887061347016884e-21,0.996388795454281,-5535.8897329274005,AR,18.72057765302516,10.772967525774677,26.0,5.341715509715613
2021-01-01,0.1743818797850072,0.16587510275032977,0.2239043758904364,5.4905425303603375e-21,0.9964047615898578,-3525.4530614933374,MD,17.438187978500718,9.942622680345064,27.0,5.7345407747231825
2021-01-01,0.16394503064001986,0.09396908301792727,0.22459203761166846,1.7248232177616912e-13,0.9689404174839411,-3725.0035482409075,OK,16.394503064001988,10.834580266894678,28.0,6.099605435408022
