datetimeobject,gradient,gradientLCI,gradientUCI,pvalue,rsquared,intercept,STUSPS,prevailingDPR,continuousDPR,rank,prevailingCPD
2021-02-22,0.12402045321019245,0.02545187651358885,0.23836188451523904,5.027835936975307e-09,0.8314785837921237,-866.8685818104871,OH,12.402045321019244,1.7662174538793667,1.0,8.063186144830315
2021-02-22,0.06952413857621591,0.04196942027683619,0.09102667571955933,1.151151781775184e-12,0.9606416134887282,-494.25915419103944,AL,6.952413857621591,1.967509025270758,2.0,14.383493567543438
2021-02-22,0.05999918631829576,0.0395623018456929,0.12692682919322112,4.909238286367204e-10,0.9097329500367168,-338.76639938567223,MO,5.999918631829576,1.6230248639414997,3.0,16.666892692427506
2021-02-22,0.05386410662736889,0.044595536199728066,0.06655934222951536,9.608492790992977e-19,0.9900797156687424,-379.3590898850275,KS,5.386410662736889,1.5916274158936494,4.0,18.565238757564206
2021-02-22,0.04990424538251065,0.03550298432914585,0.07644414407972049,3.16133681616277e-14,0.9734630031176749,-341.227142481271,AZ,4.990424538251065,1.9150826035339215,5.0,20.03837533931448
2021-02-22,0.0495733636730092,0.04125943515930959,0.07774003129842537,5.10259412117861e-16,0.9866929959118851,-310.6193201894703,NV,4.95733636730092,1.6768564951569693,6.0,20.172123211087687
2021-02-22,0.04650745201378988,0.03755000431741715,0.06820896950791278,3.1847896855866784e-16,0.9878987533503226,-281.46688845082986,CA,4.650745201378988,1.431540488791953,7.0,21.501930479947408
2021-02-22,0.043848334414548606,0.029818685769947423,0.07171248892720436,5.917455189354093e-14,0.9666932675376175,-215.60915011015277,IA,4.384833441454861,1.936039369256098,8.0,22.805883355701788
2021-02-22,0.04194952917293859,0.03561263414569522,0.04566281013315423,4.5767871846265494e-23,0.99701080139064,-192.83844001511488,NM,4.194952917293859,1.9860891800484093,9.0,23.838169813002203
2021-02-22,0.04190525384786105,0.02449303149608416,0.09148598558318354,4.155582391241596e-11,0.920802935976228,-260.1971899679427,RI,4.190525384786105,1.989094663483255,10.0,23.863356218543526
2021-02-22,0.03807782481312491,0.030804417321618472,0.06225245065844093,1.0516746188034005e-12,0.9629318899813282,-191.69087633957116,DE,3.807782481312491,1.6077094840756845,11.0,26.262004326867785
2021-02-22,0.037072343798890794,0.029771581820732508,0.04808615825883975,3.406615780029051e-17,0.9886594962972314,-186.5239305323803,GA,3.7072343798890794,1.7056236442900872,12.0,26.974285883427743
2021-02-22,0.03455371706764673,0.026135220811033585,0.09861418671515182,1.2185354188363227e-10,0.9858037559960793,-152.3614523647525,IN,3.4553717067646734,1.890285150131941,13.0,28.940446495011617
2021-02-22,0.03144986352897167,0.022401072121415337,0.0432925441952202,6.238975764664552e-15,0.9794764731285915,-36.90488390076928,MI,3.144986352897167,2.563382667561752,14.0,31.796640359943
2021-02-22,0.030579080091536398,0.019386794345834627,0.038992317080358586,5.150005580603814e-15,0.9818414715097102,-78.16423923713069,MS,3.05790800915364,2.2528655019011667,15.0,32.70209558320813
2021-02-22,0.03022408004374824,-0.0004750649627223418,0.03965689471024536,2.7747584850739946e-07,0.8163801381922908,-165.71117104714313,WY,3.022408004374824,1.228200371057514,16.0,33.08620141796001
2021-02-22,0.030125698231053682,0.02151311619954363,0.040299105378098034,3.444451093832619e-16,0.9867927683191168,-137.7372558715931,AR,3.0125698231053684,1.6984472334913647,17.0,33.19425137735716
2021-02-22,0.029971797219404295,0.025121848043038103,0.03298031890229114,1.8473461262444986e-21,0.9955374596257655,-17.916459475488864,MA,2.9971797219404293,2.7785664959529996,18.0,33.36469924307981
2021-02-22,0.02984516513071167,0.020496274380171584,0.041184147387650874,1.1423311855712615e-15,0.9745315401858546,-171.2963628383868,TN,2.984516513071167,1.4558417723336552,19.0,33.50626460333994
2021-02-22,0.018999445813001406,0.016181641819266283,0.024489143362356924,2.696404863229391e-17,0.9896017862833787,93.33984490483778,NJ,1.8999445813001405,2.97414880365729,20.0,52.63311413618683
2021-02-22,0.027867287579653566,0.020171852143554964,0.050527695534300525,3.93149092089415e-13,0.9655778027944149,-50.86532360441686,LA,2.7867287579653564,2.2317570288454065,21.0,35.88436790418451
2021-02-22,0.027620465316918627,0.02346998884107072,0.03158047360128548,1.1009481375634007e-20,0.9952834734300753,-44.34924598537964,MD,2.7620465316918628,2.05114056891827,22.0,36.205038131180956
2021-02-22,0.02276996704080317,0.019622556939880388,0.029101450234508684,1.399551560194183e-17,0.9909177660796242,36.3164940997832,CT,2.2769967040803167,2.7464924291675894,23.0,43.91749879163316
2021-02-22,0.02679474581085467,0.013220166166352286,0.03163912838920679,1.461117523947223e-13,0.9695768639448173,-9.171999574378106,DC,2.6794745810854668,2.502892790662575,24.0,37.320749637225354
2021-02-22,0.02674419512850798,0.023186735023636024,0.034406300125939454,6.260888671671919e-19,0.9935019219220497,-6.5108491387507,PA,2.674419512850798,2.5807424634538716,25.0,37.39129165020374
2021-02-22,0.026611262765269067,0.013381264837244044,0.03512354294368957,1.8168647035404602e-14,0.9727919956762583,-124.19646556658518,SD,2.6611262765269066,1.6733432733935723,26.0,37.578073946386404
2021-02-22,0.026505646359640443,0.02069878749401962,0.03469305072968964,1.885943422750964e-13,0.9702193313013064,-53.15161146725919,WA,2.6505646359640442,1.4353306627647577,27.0,37.727810385438396
2021-02-22,0.02644493812915494,0.020582305755806097,0.031130201675700762,1.7204198735753248e-16,0.9877430386672543,-65.18193717549775,WV,2.6444938129154942,1.7427264466246708,28.0,37.81442010248165
