datetimeobject,gradient,gradientLCI,gradientUCI,pvalue,rsquared,intercept,STUSPS,prevailingHPR,rank,continuousHPR,prevailingCPH
2020-12-20,0.17292261995500485,0.08749565591772096,0.6209503883082937,1.983916552679407e-05,0.693531492965912,-138.06033351077753,HI,17.292261995500485,1.0,8.028134853262188,5.78293343149788
2020-12-20,0.0726571383636726,0.042478464234240156,0.09418800733952051,1.7631844338981917e-14,0.9766342307799212,144.08147709303148,AL,7.26571383636726,2.0,9.373178023395731,13.76327257749507
2020-12-20,0.07095207675267824,0.042734983971314554,0.2728830407362095,1.5585875362814e-06,0.8057354960913102,-411.98793140343764,ND,7.095207675267824,3.0,3.769477670787104,14.09402015794066
2020-12-20,0.06936680316816196,0.06573520797079331,0.08093723881306536,3.4385355152289183e-22,0.9974577868990617,118.6810392318092,MD,6.936680316816196,4.0,9.817469937163091,14.416117715209642
2020-12-20,0.06664697527834301,0.047281470841884075,0.13209611730440637,1.124588147430739e-12,0.9500262760164142,-19.793109992898593,WA,6.664697527834301,5.0,6.015777320550949,15.004431871418339
2020-12-20,0.06360777653840333,0.0547539165103193,0.06955752677206745,2.4320025335550715e-23,0.9980182558150117,-69.52085388915452,SD,6.360777653840333,6.0,5.712204545694468,15.72134814987988
2020-12-20,0.06090495969174517,0.050907714667787936,0.09035836660806351,5.510080562629229e-15,0.9840974096732937,34.485333577207825,NM,6.090495969174517,7.0,6.718054049064181,16.419024083773202
2020-12-20,0.05667906488847826,0.03915666095205542,0.07202217530440881,4.076950752609833e-18,0.9917878716628737,127.61289050131819,RI,5.667906488847826,8.0,7.294642409662706,17.643198630175007
2020-12-20,0.05375065736140945,0.03584770062135164,0.06105142307848729,1.8472998586303275e-15,0.9795042111065481,118.12066182520039,AZ,5.375065736140945,9.0,7.2833374118435525,18.60442363106716
2020-12-20,0.05233011067394608,0.04831069126947034,0.06266647185619656,1.109913363666432e-21,0.9970558991716864,120.75220202171545,GA,5.2330110673946075,10.0,7.734091069648423,19.109457005178403
2020-12-20,0.05153941150951925,0.039894994197405165,0.05708897461747292,9.331331348668324e-21,0.9958022150570638,130.42747286700296,IN,5.153941150951925,11.0,6.998109201169796,19.40262744007664
2020-12-20,0.05034757518930498,0.03567470997928582,0.06436674495773773,2.878709915007985e-14,0.9751597345204404,17.271651787634354,OR,5.034757518930498,12.0,5.67084426309142,19.861929720349746
2020-12-20,0.047593328288649955,0.03933151495860144,0.05114473831027708,2.039220110622801e-18,0.9926034708542423,75.10099985060276,OK,4.759332828864996,13.0,5.8691601683803745,21.011348354018764
2020-12-20,0.047366207243221395,0.04250028878919861,0.06603058652616872,1.3659493371782637e-17,0.9925978516219174,29.487987104667013,MN,4.736620724322139,14.0,5.1714113848066665,21.112097805616695
2020-12-20,0.045128285177655034,0.03982645346164924,0.06210024833266065,3.4623561018988896e-14,0.9809518609765311,55.336700489613804,CO,4.512828517765503,15.0,5.558936838356694,22.159051602854685
2020-12-20,0.04345173235681657,0.039918445597962614,0.05411519564235688,5.985851685789293e-19,0.993986134261402,-8.259244664222365,MT,4.345173235681657,16.0,4.225735389400026,23.014042151143904
2020-12-20,0.04093783667125969,0.038581024261807755,0.05125299722378833,4.275360776131726e-19,0.994725881554414,309.1147094954014,NJ,4.093783667125969,17.0,10.444483485593814,24.427280025327953
2020-12-20,0.03960312331544092,0.031196113820656252,0.07131295722417325,1.710844646837386e-12,0.9667757071034835,60.57608680981349,KY,3.9603123315440922,18.0,5.151431365832926,25.250533702479686
2020-12-20,0.03882085210996875,0.02902601456188737,0.041147274212360925,8.903223908606554e-19,0.9932096564843992,18.991399341891615,ME,3.882085210996875,19.0,5.167317639607304,25.759352143205827
2020-12-20,0.038755108424337256,0.0358898769929957,0.046422450366190436,2.1639395190713683e-20,0.9964119247684461,5.610207574078913,ID,3.8755108424337257,20.0,3.96764521302559,25.80304998894093
2020-12-20,0.03801486926421149,0.034746139600346566,0.054460734449616494,1.8547680473176597e-17,0.9900766487065581,93.93313915716867,OH,3.8014869264211493,21.0,5.579104889805172,26.305496227010163
2020-12-20,0.03682672426897263,0.033795490093200604,0.0399950124349892,8.901603442329988e-24,0.9983893272413591,34.428027173766054,WI,3.6826724268972626,22.0,4.0834219563081975,27.15419358768554
2020-12-20,0.03669896212470139,0.030013559991121017,0.044940629104849944,5.32716770913894e-19,0.993631742372892,104.6219698329991,AR,3.669896212470139,23.0,5.208033721795189,27.248726996748463
2020-12-20,0.033619699116630763,0.03207190503293097,0.03774166547416879,1.7641141275287734e-23,0.9982455695996881,49.61837495079004,UT,3.3619699116630763,24.0,4.000175323950846,29.744466080165687
2020-12-20,0.031270279613330156,0.02803392297369134,0.04232651222630291,6.412546593255961e-17,0.9891306440613731,85.06956981600094,VA,3.1270279613330154,25.0,5.500443216185212,31.979247143466914
2020-12-20,0.027639249498812066,0.020781628989774842,0.030549281708489015,2.0389946516824868e-17,0.9904028691923592,-23.723177692289042,WY,2.7639249498812064,26.0,2.4170707119197345,36.18043246952057
2020-12-20,0.02679991450769255,0.02437477969663053,0.030998418964673584,5.922651388073615e-20,0.9941322159886469,118.61909506703466,SC,2.679991450769255,27.0,4.917229321960747,37.31355186647941
2020-12-20,0.02574465298071485,0.02404570102248742,0.02867319139055422,2.727725486972985e-23,0.997834598351954,141.73207541905288,FL,2.574465298071485,28.0,5.145025724705452,38.843017256790894
2020-12-20,0.024727145131615405,0.020919850719817393,0.029286394103674503,7.912216781385518e-20,0.9949820237881337,58.611689016776495,NE,2.4727145131615407,29.0,3.202393591352186,40.44138515292771
