datetimeobject,gradient,gradientLCI,gradientUCI,pvalue,rsquared,intercept,STUSPS,prevailingDHR,rank,continuousDHR,prevailingHPD
2021-02-26,2.0192099645351402,0.45867805771638204,3.1375087055514017,3.581811723421806e-09,0.8343338781604908,-711.5271042145737,OH,201.92099645351402,1.0,34.28508719422163,0.4952431978663589
2021-02-26,1.562823687561913,0.7979253916140566,3.0340144734653345,9.988675122019724e-08,0.8636178567255398,-251.5537094843885,MS,156.28236875619132,2.0,73.65734576120728,0.6398674450347323
2021-02-26,1.2030703700417087,0.5039327540596319,1.6758551846933054,5.572079860673968e-11,0.9550249001399527,-11.978568946081054,NH,120.30703700417087,3.0,105.15370705244125,0.8312065735317973
2021-02-26,1.187293420994886,0.6069679966853472,1.3668071220167701,8.825432934055517e-16,0.983923594913741,-212.17706039177733,KS,118.7293420994886,4.0,51.19472375391934,0.8422517823454757
2021-02-26,0.9338020554721895,0.25968119681680435,1.2991714085868866,4.976555837314631e-08,0.8630009524575795,-31.436326287172278,MA,93.38020554721895,5.0,82.41102653774944,1.07089076763098
2021-02-26,0.9136180919318364,0.7758216465349157,1.2776792172941625,3.8791278235723567e-16,0.9858689868948566,-81.5374860492633,TN,91.36180919318365,6.0,61.321619145151715,1.094549252943875
2021-02-26,0.8210512693885712,-0.14471903449543633,2.3502465664849,2.6111409760870204e-07,0.8177531528656837,-454.5834220457932,RI,82.10512693885713,7.0,28.1123595505618,1.2179507386240205
2021-02-26,0.7103619866095174,0.4123068394086918,1.916519805243313,6.726310205751777e-07,0.8308670927486672,-107.94800531340093,VA,71.03619866095174,8.0,34.185503378096584,1.4077329852247502
2021-02-26,0.6879439245624419,0.3594008796689546,4.02148473268644,4.6937441031495065e-05,0.681658383817064,-27.395144544947726,ME,68.7943924562442,9.0,46.148782093482566,1.4536068483140356
2021-02-26,0.6416869651282546,0.5167370629519217,0.6688393389421919,5.451389370440818e-22,0.9973062269727739,-94.26367568842784,FL,64.16869651282546,10.0,38.83696004386948,1.5583922603136078
2021-02-26,0.6097280547775294,0.5949889928322672,0.6201452403191084,2.1969853602271074e-33,0.0,0.0017735624600094752,CT,60.97280547775294,11.0,62.184873949579824,1.6400754273392726
2021-02-26,0.605577676415963,0.5223585859579453,0.970583847645735,5.007140415860257e-15,0.9800324299029067,-172.48771357437113,NJ,60.55776764159631,12.0,36.48835745752046,1.6513158244510875
2021-02-26,0.5757055629436976,0.3028168245189643,0.8119910318985097,9.213587666396764e-13,0.9655424174148881,-236.24575573470247,AZ,57.57055629436976,13.0,27.670055002436822,1.736999022359277
2021-02-26,0.5691927085602457,0.13783322344425927,0.7232617960507128,6.066848332470933e-11,0.9389468326716226,-326.1404057798841,AL,56.919270856024575,14.0,21.72448710046667,1.756874227235741
2021-02-26,0.5645510992566798,0.4141704238390145,0.6248259051539484,6.589433482713432e-18,0.9917277179802417,-133.6262247746157,GA,56.455109925667976,15.0,30.87059414105921,1.7713188430890616
2021-02-26,0.5482812164353369,0.49300707949716,0.630989791111274,1.8947645537961536e-20,0.9939254276487337,-51.12941910735475,SC,54.82812164353369,16.0,41.810110974106045,1.823881559360219
2021-02-26,0.5293149871732412,0.22603196577261153,0.6152995274867276,9.617672731818151e-14,0.9711237735782536,-59.369908941320546,NE,52.93149871732412,17.0,34.13272010512485,1.8892342446988126
2021-02-26,0.4707190312901841,0.19018881982525976,1.3673874541898128,8.960672356670957e-06,0.7263143024354868,3.3673987698175267,WY,47.07190312901841,18.0,48.587979724837076,2.124409538444028
2021-02-26,0.4607869975765926,0.22349600706691478,0.5683799127594804,8.482332468192552e-12,0.9604509507169053,-44.85127295658708,AR,46.07869975765926,19.0,36.665084423950645,2.1702001255662142
2021-02-26,0.4393237242432999,0.3052209048934572,0.5708191636923853,3.487073301930435e-13,0.9651264912378458,-46.77149696883396,WA,43.93237242432999,20.0,25.525384935497293,2.2762258098453945
2021-02-26,0.4210512324043283,0.36418981398561157,0.7081618241320229,1.7262347355047307e-15,0.9825186487567302,-145.4743507286122,OK,42.10512324043283,21.0,18.091209849658693,2.375007892245562
2021-02-26,0.4196104221082666,0.3253428026958212,0.4900572337078448,1.0857155257323777e-17,0.9925416051152234,-85.98130128012144,NM,41.96104221082666,22.0,28.174936921783015,2.3831629228265045
2021-02-26,0.4162890833487719,0.40492709249237413,0.4242760062877626,1.5532144583039497e-32,0.0,0.0008998616674881293,NY,41.62890833487719,23.0,42.58125451413968,2.4021768525747964
2021-02-26,0.36859679007953994,0.2352064285439518,1.1653587560411847,4.67311110368691e-08,0.9432195101022647,-48.1273385687158,IN,36.85967900795399,24.0,29.341107052542856,2.712991612824976
2021-02-26,0.33151886755637516,0.26485146826498807,0.4533626921306368,1.2729553341684664e-16,0.9846264100015777,-38.277569466649254,KY,33.15188675563752,25.0,24.23476107686634,3.016419570237428
2021-02-26,0.3168081731427912,0.2748026977636383,0.5591351637865606,2.022505082928741e-13,0.9683172210746485,-21.743901057015364,WI,31.680817314279118,26.0,26.905777880290632,3.1564842222340075
2021-02-26,0.29695150845046037,0.11951020698548795,0.7504172709689019,1.1940689320550037e-07,0.8345502385611622,42.26785353941614,ND,29.695150845046037,27.0,38.095238095238095,3.367553191489604
2021-02-26,0.295661618798956,0.07946375885221371,0.43567953718781616,6.31488768281107e-07,0.8229706483569681,-7.781286497448292,OR,29.566161879895603,28.0,25.774763185592324,3.3822448921920434
