datetimeobject,STUSPS,positiveRate,testRate,positiveTestRate
2020-09-14,AL,2844.253276186805,20956.80664710795,13.571978422482193
2020-09-14,AK,993.787121776514,55145.343075272205,1.8021233822410279
2020-09-14,AZ,2867.6070246995455,17869.412974841583,16.047572624444133
2020-09-14,AR,2340.344170794392,27446.01703755446,8.527081243125707
2020-09-14,CA,1917.831856739622,32410.702379362454,5.917279527890773
2020-09-14,CO,1064.8864611956512,13623.302057951605,7.8166545575057675
2020-09-14,CT,1539.7077430232125,38706.224772367554,3.977933141447607
2020-09-14,DE,1944.7217190202146,26957.66119922281,7.213985310700028
2020-09-14,DC,2071.841405372165,47063.191021170416,4.402254416705806
2020-09-14,FL,3099.628233644913,23005.254231393184,13.473566527315883
2020-09-14,GA,2781.626012263051,24631.654969383813,11.292891264190343
2020-09-14,HI,755.7180310084527,18330.117411743435,4.12282155118271
2020-09-14,ID,1974.1307674874724,15590.535319084645,12.662366795519231
2020-09-14,IL,2089.9837521379127,37673.283105877206,5.547654942268267
2020-09-14,IN,1582.539130114454,18527.219628476138,8.54169790097435
2020-09-14,IA,2309.8061215757493,21762.940283416847,10.613483708981178
2020-09-14,KS,1712.791686718287,15734.006015142893,10.885922409523955
2020-09-14,KY,1282.143970697945,22306.355008524573,5.747886511301206
2020-09-14,LA,3417.703602267599,44727.70787434332,7.641132901040206
2020-09-14,ME,364.74901280452787,24830.68146988719,1.46894483442538
2020-09-14,MD,1929.4107528020008,24229.91292956293,7.962928956496273
2020-09-14,MA,1814.7253617444924,28584.318352853817,6.3486746101234655
2020-09-14,MI,1244.505653780764,31662.484002724785,3.9305370155849597
2020-09-14,MN,1506.2862257679226,22046.739929130126,6.832240188843895
2020-09-14,MS,3024.646951479916,21027.37463749295,14.384329968073171
2020-09-14,MO,1695.8080811701577,18659.396085787073,9.088225971374609
2020-09-14,MT,852.0946351814875,26747.36942564312,3.185713785986637
2020-09-14,NE,1981.7432516821686,20883.133237662372,9.489683512185463
2020-09-14,NV,2396.4370635772993,20936.30971937785,11.4463202718063
2020-09-14,NH,567.3264392212757,17048.91701251222,3.327639162094074
2020-09-14,NJ,2217.5612095665592,35914.22836034807,6.174603522917142
2020-09-14,NM,1276.2604866682022,39256.65850672611,3.2510675518893994
2020-09-14,NY,2287.2316281836524,48225.88008437119,4.742747305351691
2020-09-14,NC,1771.3530898493948,25122.024194314236,7.05099667187765
2020-09-14,ND,2077.390028632841,28899.22342276613,7.188393951777687
2020-09-14,OH,1184.727652257231,22441.89886304335,5.279088278078845
2020-09-14,OK,1774.6655206722514,25029.220583117745,7.090374687373471
2020-09-14,OR,699.0478543351564,14576.631971125747,4.795674719097469
2020-09-14,PA,1133.1286099370966,14292.091642947044,7.928360930265098
2020-09-14,RI,2183.391686120218,29092.726653142792,7.504940022128703
2020-09-14,SC,2576.9541675843716,21140.67707004118,12.189553622368216
2020-09-14,SD,1899.14984191649,18666.966593907935,10.173853541561959
2020-09-14,TN,2551.9045202245543,36502.96507308204,6.990951324407275
2020-09-14,TX,2274.2333643871693,19141.129045190937,11.88139612359258
2020-09-14,UT,1822.7936860058678,22510.65048263265,8.097472293891215
2020-09-14,VT,271.7996631350873,24275.74845069384,1.119634534387832
2020-09-14,VA,1576.6000872354687,20846.172330001256,7.5630195427602205
2020-09-14,WA,1052.385109022543,21720.1607429021,4.845199450775016
2020-09-14,WV,715.3431052251852,27230.746138570106,2.626968433347336
2020-09-14,WI,1640.155989745869,23514.28972831637,6.975145788778646
2020-09-14,WY,758.8650889230232,15378.767328024273,4.934498797833855
2020-09-14,PR,1182.0168118799108,10762.521393721503,10.98271277369502
