datetimeobject,STUSPS,positiveRate,testRate,ndays,label
2020-05-02,AL,151.61573548621968,1880.5939404693072,101.0,
2020-05-03,AL,157.5506532998449,1886.5288582829323,102.0,
2020-05-04,AL,163.6691252726544,2103.061581400661,103.0,
2020-05-05,AL,168.97180098242265,2177.482595496601,104.0,
2020-05-06,AL,175.00869332892805,2233.568588580688,105.0,
2020-05-07,AL,181.4738787135301,2348.9425750812993,106.0,
2020-05-08,AL,188.06143353758833,2449.7138084734715,107.0,
2020-05-09,AL,195.11807121289527,2559.4384058525225,108.0,
2020-05-10,AL,199.40100159386193,2598.7393908245353,109.0,
2020-05-11,AL,204.13261991950128,2639.9982868278476,110.0,
2020-05-12,AL,210.27148679888685,2716.9686642457914,111.0,
2020-05-13,AL,216.5327231177286,2781.2941995865954,112.0,
2020-05-14,AL,223.69133532591573,2895.770810197861,113.0,
2020-05-15,AL,228.74927215677155,2978.9412392149184,114.0,
2020-05-16,AL,235.0105084756133,3130.49578998141,115.0,
2020-05-17,AL,240.0684453064692,3188.7436431625565,116.0,
2020-05-18,AL,246.49284087791915,3204.508905945829,117.0,
2020-05-19,AL,252.40736378496837,3213.5438495590115,118.0,
2020-05-20,AL,259.912689404948,3353.9423864284136,119.0,
2020-05-21,AL,267.5607793709599,3482.2059538850767,120.0,
2020-05-22,AL,276.616117890718,3625.561752208004,121.0,
2020-05-23,AL,284.26420785672985,3725.6599536831673,122.0,
2020-05-24,AL,292.1978265148062,3789.3532469201145,123.0,
2020-05-25,AL,300.416973864947,3881.4566450174734,124.0,
2020-05-26,AL,313.99998164458407,3951.696703265326,125.0,
2020-05-27,AL,323.11650488407025,3993.200338147551,126.0,
2020-05-28,AL,332.64092625507703,4088.7912652694117,127.0,
2020-05-29,AL,343.1035133285813,4260.14927032123,128.0,
2020-05-30,AL,354.0351832533343,4327.819570340504,129.0,
2020-05-31,AL,365.13001243069556,4436.973110335425,130.0,
2020-06-01,AL,374.51166945567013,4558.730702594334,131.0,
2020-06-02,AL,380.20184839038296,4564.420881529048,132.0,
2020-06-03,AL,384.4643838647736,4723.337993569486,133.0,
2020-06-04,AL,388.97165821807664,4798.901122433683,134.0,
2020-06-05,AL,395.3960537895266,4884.02946248204,135.0,
2020-06-06,AL,408.7751125034034,5009.8864309627315,136.0,
2020-06-07,AL,418.09558480864985,5293.824320314245,137.0,
2020-06-08,AL,426.7634201034634,5302.492155609058,138.0,
2020-06-09,AL,436.8996886717511,5460.511891760151,139.0,
2020-06-10,AL,448.46360070036104,5568.972004931488,140.0,
2020-06-11,AL,465.9216407294442,5686.6302209686155,141.0,
2020-06-12,AL,483.5632349177116,5840.795319776839,142.0,
2020-06-13,AL,501.7350966769559,5980.847143234449,143.0,
2020-06-14,AL,522.4155319450521,6066.56693557351,144.0,
2020-06-15,AL,535.8149855655049,6173.007952993819,145.0,
2020-06-16,AL,548.8677257741651,6229.093946077906,146.0,
2020-06-17,AL,557.0256884045779,6337.166556024298,147.0,
2020-06-18,AL,575.2587348835502,6578.050797593808,148.0,
2020-06-19,AL,591.4930805180715,6757.342421303704,149.0,
2020-06-20,AL,602.6490944151608,6924.539865414012,150.0,
2020-06-21,AL,612.2754903190478,7029.675608813454,151.0,
2020-06-22,AL,621.1064848664695,7120.065834758428,152.0,
2020-06-23,AL,634.2204097948579,7220.571934365113,153.0,
2020-06-24,AL,653.9422844538805,7316.856288310557,154.0,
2020-06-25,AL,677.2332677637087,7535.06139376752,155.0,
2020-06-26,AL,697.1590914884916,7715.862240564042,156.0,
2020-06-27,AL,715.5145074069202,7832.1743927671505,157.0,
2020-06-28,AL,722.8158839611395,7878.144512189527,158.0,
2020-06-29,AL,758.1806519639786,8021.173992007236,159.0,
2020-06-30,AL,775.9242206851261,8293.629548956444,160.0,
2020-07-01,AL,794.6263500153472,8442.532761868051,161.0,
2020-07-02,AL,818.0600976712076,8560.313347344634,162.0,
2020-07-03,AL,853.8327638055673,8782.679013743109,163.0,
2020-07-04,AL,874.1664856618708,9016.343458384703,164.0,
2020-07-05,AL,896.4173287363213,9175.3829398646,165.0,
2020-07-06,AL,915.2826173191507,9281.620008219148,166.0,
2020-07-07,AL,933.7807975836115,9409.475677544291,167.0,
2020-07-08,AL,957.7856026236008,9550.771590303038,168.0,
2020-07-09,AL,1002.899135969783,9595.88512364922,169.0,
2020-07-10,AL,1030.1059413422092,10038.69933522802,170.0,
2020-07-11,AL,1059.4542119051187,10238.650999299436,171.0,
2020-07-12,AL,1092.9018586898108,10432.117083079671,172.0,
2020-07-13,AL,1132.835085765681,10597.275036532375,173.0,
2020-07-14,AL,1167.710376010695,10790.720725406038,174.0,
2020-07-15,AL,1204.6659467264644,11034.643808055376,175.0,
2020-07-16,AL,1245.8840529166246,11239.816568210255,176.0,
2020-07-17,AL,1286.7350507884162,11484.67781656209,177.0,
2020-07-18,AL,1330.4413355808522,11716.771853397333,178.0,
2020-07-19,AL,1366.6830845664604,11941.89083218357,179.0,
2020-07-20,AL,1405.0255089294,12110.250785968712,180.0,
2020-07-21,AL,1434.9448368764383,12244.714405024488,181.0,
2020-07-22,AL,1464.6194259445647,12430.45081921241,182.0,
2020-07-23,AL,1513.5468068204646,12635.195286329194,183.0,
2020-07-24,AL,1550.1148743112894,12828.069917818724,184.0,
2020-07-25,AL,1593.454050785357,13085.596403154275,185.0,
2020-07-26,AL,1617.193722039858,13250.285273755733,186.0,
2020-07-27,AL,1654.3328469148116,13419.012335859243,187.0,
2020-07-28,AL,1679.8468750414272,13570.750440784917,188.0,
2020-07-29,AL,1708.7260627530882,13629.406192097584,189.0,
2020-07-30,AL,1749.1079777736309,13870.739121611768,190.0,
2020-07-31,AL,1789.102389569229,14061.615052256848,191.0,
2020-08-01,AL,1822.2645076618564,14222.816393833804,192.0,
2020-08-02,AL,1864.991836938643,14400.231686138704,193.0,
2020-08-03,AL,1889.8124382416736,14563.003435522012,194.0,
2020-08-04,AL,1911.0435359873227,14731.261414774275,195.0,
2020-08-05,AL,1930.4594870477047,14836.478737800022,196.0,
2020-08-06,AL,1969.984815992054,15087.825566443036,197.0,
2020-08-07,AL,2004.8397113304923,15284.269306583374,198.0,
2020-08-08,AL,2006.593673296031,15286.023268548912,199.0,
2020-08-09,AL,2066.6974629755964,15550.116913801949,200.0,
