datetimeobject,STUSPS,positiveIncrease,testIncrease,deathIncrease,positiveCumulative,testCumulative,deathCumulative,positiveRate,testRate,deathRate,ndays,positiveIncreaseRate,testIncreaseRate,deathIncreaseRate
2020-03-13,AL,1.0,2.0,0.0,1.0,12.0,0.0,0.020394906576031702,0.24473887891238044,0.0,51,0.020394906576031702,0.040789813152063405,0.0
2020-03-14,AL,5.0,16.0,0.0,6.0,28.0,0.0,0.12236943945619022,0.5710573841288876,0.0,52,0.10197453288015851,0.32631850521650724,0.0
2020-03-15,AL,6.0,12.0,0.0,12.0,40.0,0.0,0.24473887891238044,0.8157962630412681,0.0,53,0.12236943945619021,0.24473887891238041,0.0
2020-03-16,AL,16.0,16.0,0.0,28.0,56.0,0.0,0.5710573841288876,1.1421147682577752,0.0,54,0.32631850521650724,0.32631850521650724,0.0
2020-03-17,AL,8.0,8.0,0.0,36.0,64.0,0.0,0.7342166367371412,1.305274020866029,0.0,55,0.16315925260825362,0.16315925260825362,0.0
2020-03-18,AL,10.0,10.0,0.0,46.0,74.0,0.0,0.9381657024974582,1.5092230866263459,0.0,56,0.20394906576031702,0.20394906576031702,0.0
2020-03-19,AL,22.0,22.0,0.0,68.0,96.0,0.0,1.3868536471701556,1.9579110312990435,0.0,57,0.44868794467269746,0.44868794467269746,0.0
2020-03-20,AL,13.0,13.0,0.0,81.0,109.0,0.0,1.651987432658568,2.2230448167874557,0.0,58,0.2651337854884121,0.2651337854884121,0.0
2020-03-21,AL,43.0,43.0,0.0,124.0,152.0,0.0,2.528968415427931,3.100025799556819,0.0,59,0.8769809827693632,0.8769809827693632,0.0
2020-03-22,AL,14.0,1450.0,0.0,138.0,1602.0,0.0,2.814497107492375,32.672640334802786,0.0,60,0.2855286920644438,29.572614535245968,0.0
2020-03-23,AL,29.0,230.0,0.0,167.0,1832.0,0.0,3.4059493981972944,37.36346884729008,0.0,61,0.5914522907049193,4.6908285124872915,0.0
2020-03-24,AL,48.0,489.0,0.0,215.0,2321.0,0.0,4.384904913846816,47.33657816296958,0.0,62,0.9789555156495217,9.973109315679503,0.0
2020-03-25,AL,68.0,491.0,0.0,283.0,2812.0,0.0,5.771758561016972,57.35047729180115,0.0,63,1.3868536471701558,10.013899128831566,0.0
2020-03-26,AL,223.0,1287.0,1.0,506.0,4099.0,1.0,10.319822727472042,83.59872205515394,0.020394906576031702,64,4.548064166455069,26.2482447633528,0.020394906576031702
2020-03-27,AL,81.0,672.0,2.0,587.0,4771.0,3.0,11.971810160130609,97.30409927424725,0.06118471972809511,65,1.651987432658568,13.705377219093304,0.040789813152063405
2020-03-28,AL,109.0,109.0,0.0,696.0,4880.0,3.0,14.194854976918066,99.52714409103471,0.06118471972809511,66,2.2230448167874557,2.2230448167874557,0.0
2020-03-29,AL,110.0,110.0,1.0,806.0,4990.0,4.0,16.438294700281553,101.7705838143982,0.08157962630412681,67,2.2434397233634873,2.2434397233634873,0.020394906576031702
2020-03-30,AL,53.0,1563.0,2.0,859.0,6553.0,6.0,17.519224748811233,133.64782279273575,0.12236943945619022,68,1.0809300485296802,31.87723897833755,0.040789813152063405
2020-03-31,AL,122.0,726.0,7.0,981.0,7279.0,13.0,20.007403351087103,148.45452496693477,0.26513378548841215,69,2.488178602275868,14.806702174199016,0.1427643460322219
2020-04-01,AL,96.0,495.0,13.0,1077.0,7774.0,26.0,21.965314382386143,158.55000372207044,0.5302675709768243,70,1.9579110312990433,10.095478755135693,0.2651337854884121
2020-04-02,AL,156.0,962.0,6.0,1233.0,8736.0,32.0,25.146919808247088,178.16990384821295,0.6526370104330145,71,3.1816054258609454,19.619900126142497,0.12236943945619021
2020-04-03,AL,199.0,883.0,3.0,1432.0,9619.0,35.0,29.205506216877396,196.17860635484894,0.7138217301611096,72,4.058586408630308,18.00870250663599,0.061184719728095104
2020-04-04,AL,148.0,1234.0,8.0,1580.0,10853.0,43.0,32.223952390130094,221.34592106967204,0.8769809827693632,73,3.0184461732526917,25.16731471482312,0.16315925260825362
2020-04-05,AL,216.0,2225.0,2.0,1796.0,13078.0,45.0,36.629252210552934,266.72458820134256,0.9177707959214266,74,4.405299820422847,45.37866713167054,0.040789813152063405
2020-04-06,AL,172.0,1687.0,5.0,1968.0,14765.0,50.0,40.13717614163039,301.1307955951081,1.019745328801585,75,3.507923931077453,34.406207393765484,0.10197453288015851
2020-04-07,AL,151.0,151.0,6.0,2119.0,14916.0,56.0,43.21680703461118,304.2104264880889,1.1421147682577752,76,3.079630892980787,3.079630892980787,0.12236943945619021
2020-04-08,AL,250.0,4206.0,10.0,2369.0,19122.0,66.0,48.315533678619104,389.9914035468782,1.3460638340180924,77,5.098726644007925,85.78097705878933,0.20394906576031702
2020-04-09,AL,400.0,1705.0,8.0,2769.0,20827.0,74.0,56.47349630903178,424.7647192590123,1.5092230866263459,78,8.157962630412682,34.77331571213405,0.16315925260825362
2020-04-10,AL,199.0,199.0,6.0,2968.0,21026.0,80.0,60.53208271766209,428.82330566764256,1.6315925260825361,79,4.058586408630308,4.058586408630308,0.12236943945619021
2020-04-11,AL,223.0,223.0,11.0,3191.0,21249.0,91.0,65.08014688411716,433.37136983409766,1.8559364984188846,80,4.548064166455069,4.548064166455069,0.22434397233634873
2020-04-12,AL,334.0,334.0,2.0,3525.0,21583.0,93.0,71.89204568051174,440.18326863049225,1.8967263115709483,81,6.811898796394589,6.811898796394589,0.040789813152063405
2020-04-13,AL,209.0,7599.0,6.0,3734.0,29182.0,99.0,76.15458115490237,595.1641637017572,2.0190957510271383,82,4.262535474390626,154.9808950712649,0.12236943945619021
2020-04-14,AL,142.0,3935.0,11.0,3876.0,33117.0,110.0,79.05065788869888,675.4181210784418,2.2434397233634873,83,2.8960767337965017,80.25395737668475,0.22434397233634873
2020-04-15,AL,237.0,960.0,11.0,4113.0,34077.0,121.0,83.88425074721839,694.9972313914323,2.4677836956998362,84,4.833592858519514,19.579110312990434,0.22434397233634873
2020-04-16,AL,232.0,2314.0,12.0,4345.0,36391.0,133.0,88.61586907285775,742.1910452083696,2.7125225746122164,85,4.731618325639355,47.19381381693736,0.24473887891238041
2020-04-17,AL,185.0,1457.0,11.0,4530.0,37848.0,144.0,92.3889267894236,771.9064240896479,2.936866546948565,86,3.773057716565865,29.71537888127819,0.22434397233634873
2020-04-18,AL,125.0,4690.0,2.0,4655.0,42538.0,146.0,94.93829011142756,867.5585359312366,2.9776563601006285,87,2.5493633220039627,95.65211184158868,0.040789813152063405
2020-04-19,AL,182.0,3174.0,8.0,4837.0,45712.0,154.0,98.65016310826535,932.2919694035611,3.1408156127088818,88,3.7118729968377697,64.73343347232462,0.16315925260825362
2020-04-20,AL,188.0,188.0,13.0,5025.0,45900.0,167.0,102.4844055445593,936.1262118398552,3.4059493981972944,89,3.8342424362939598,3.8342424362939598,0.2651337854884121
2020-04-21,AL,206.0,2626.0,10.0,5231.0,48526.0,177.0,106.68575629922184,989.6832365085144,3.609898463957611,90,4.20135075466253,53.557024668659245,0.20394906576031702
2020-04-22,AL,234.0,234.0,17.0,5465.0,48760.0,194.0,111.45816443801326,994.4556446473058,3.95661187575015,91,4.772408138791418,4.772408138791418,0.34671341179253895
2020-04-23,AL,313.0,3881.0,3.0,5778.0,52641.0,197.0,117.84177019631117,1073.608277068885,4.017796595478245,92,6.383605758297922,79.15263242157903,0.061184719728095104
