datetimeobject,STUSPS,COUNTYGEOID,deathRate,positiveRate,Population,risk,label
2020-11-05,AL,01001,55.486942669458905,3991.4800694481733,54571,0.017973144099789,TOTAL
2020-11-05,AL,01001,55.486942669458905,3991.4800694481733,54571,0.011923545682941003,BENZENE
2020-11-05,AL,01001,55.486942669458905,3991.4800694481733,54571,0.0010149498196610001,NICKELCOMPOUNDS
2020-11-05,AL,01001,55.486942669458905,3991.4800694481733,54571,0.0050346485971870004,TRICHLOROETHYLENE
2020-11-05,AL,01003,34.49295358233961,3179.175215244989,182265,0.012382123257863,TOTAL
2020-11-05,AL,01003,34.49295358233961,3179.175215244989,182265,0.008692329523682,BENZENE
2020-11-05,AL,01003,34.49295358233961,3179.175215244989,182265,0.001352312516465,NICKELCOMPOUNDS
2020-11-05,AL,01003,34.49295358233961,3179.175215244989,182265,0.002337481217716,TRICHLOROETHYLENE
2020-11-05,AL,01005,36.457911366766595,4374.949364011991,27457,0.012558605728366999,TOTAL
2020-11-05,AL,01005,36.457911366766595,4374.949364011991,27457,0.009415558905504,BENZENE
2020-11-05,AL,01005,36.457911366766595,4374.949364011991,27457,0.0010415616566469999,NICKELCOMPOUNDS
2020-11-05,AL,01005,36.457911366766595,4374.949364011991,27457,0.0021014851662160003,TRICHLOROETHYLENE
2020-11-05,AL,01007,66.98222738233457,4050.192015718496,22915,0.013409825016806003,TOTAL
2020-11-05,AL,01007,66.98222738233457,4050.192015718496,22915,0.009685230268902001,BENZENE
2020-11-05,AL,01007,66.98222738233457,4050.192015718496,22915,0.0009639775420890001,NICKELCOMPOUNDS
2020-11-05,AL,01007,66.98222738233457,4050.192015718496,22915,0.0027606172058150004,TRICHLOROETHYLENE
2020-11-05,AL,01009,43.233147719019136,3842.5621692664204,57322,0.014146163568649,TOTAL
2020-11-05,AL,01009,43.233147719019136,3842.5621692664204,57322,0.00982251970229,BENZENE
2020-11-05,AL,01009,43.233147719019136,3842.5621692664204,57322,0.001033433992842,NICKELCOMPOUNDS
2020-11-05,AL,01009,43.233147719019136,3842.5621692664204,57322,0.003290209873517,TRICHLOROETHYLENE
2020-11-05,AL,01011,168.30016830016828,6543.906543906544,10914,0.013131792677034999,TOTAL
2020-11-05,AL,01011,168.30016830016828,6543.906543906544,10914,0.010196081492292,BENZENE
2020-11-05,AL,01011,168.30016830016828,6543.906543906544,10914,0.0012343596397489998,NICKELCOMPOUNDS
2020-11-05,AL,01011,168.30016830016828,6543.906543906544,10914,0.001701351544994,TRICHLOROETHYLENE
2020-11-05,AL,01013,210.81859317153442,5332.167832167832,20947,0.011829714094391002,TOTAL
2020-11-05,AL,01013,210.81859317153442,5332.167832167832,20947,0.008547704076564,BENZENE
2020-11-05,AL,01013,210.81859317153442,5332.167832167832,20947,0.0009106737259310001,NICKELCOMPOUNDS
2020-11-05,AL,01013,210.81859317153442,5332.167832167832,20947,0.002371336291896,TRICHLOROETHYLENE
2020-11-05,AL,01015,58.09603450552352,4435.544210202016,118572,0.02229402730547,TOTAL
2020-11-05,AL,01015,58.09603450552352,4435.544210202016,118572,0.011302525526099,BENZENE
2020-11-05,AL,01015,58.09603450552352,4435.544210202016,118572,0.005660672948156999,NICKELCOMPOUNDS
2020-11-05,AL,01015,58.09603450552352,4435.544210202016,118572,0.0053308288312140005,TRICHLOROETHYLENE
2020-11-05,AL,01017,144.3435376195345,4393.456426294581,34215,0.014373695254792,TOTAL
2020-11-05,AL,01017,144.3435376195345,4393.456426294581,34215,0.010099058649881,BENZENE
2020-11-05,AL,01017,144.3435376195345,4393.456426294581,34215,0.000999859118618,NICKELCOMPOUNDS
2020-11-05,AL,01017,144.3435376195345,4393.456426294581,34215,0.0032747774862929998,TRICHLOROETHYLENE
2020-11-05,AL,01019,57.260650480989455,3172.2400366468164,25989,0.014506895035258,TOTAL
2020-11-05,AL,01019,57.260650480989455,3172.2400366468164,25989,0.010368070263051001,BENZENE
2020-11-05,AL,01019,57.260650480989455,3172.2400366468164,25989,0.000954139548885,NICKELCOMPOUNDS
2020-11-05,AL,01019,57.260650480989455,3172.2400366468164,25989,0.0031846852233220002,TRICHLOROETHYLENE
2020-11-05,AL,01021,74.27748266858738,4463.40145853966,43643,0.013867453357737,TOTAL
2020-11-05,AL,01021,74.27748266858738,4463.40145853966,43643,0.009820635711664,BENZENE
2020-11-05,AL,01021,74.27748266858738,4463.40145853966,43643,0.0009401946510289999,NICKELCOMPOUNDS
2020-11-05,AL,01021,74.27748266858738,4463.40145853966,43643,0.003106622995044,TRICHLOROETHYLENE
2020-11-05,AL,01023,95.32131225673209,3169.433632536341,13859,0.009160389576438,TOTAL
2020-11-05,AL,01023,95.32131225673209,3169.433632536341,13859,0.006818598420938001,BENZENE
2020-11-05,AL,01023,95.32131225673209,3169.433632536341,13859,0.0009609984814500001,NICKELCOMPOUNDS
2020-11-05,AL,01023,95.32131225673209,3169.433632536341,13859,0.0013807926740499999,TRICHLOROETHYLENE
2020-11-05,AL,01025,76.20015240030479,6019.812039624079,25833,0.010922409525171,TOTAL
2020-11-05,AL,01025,76.20015240030479,6019.812039624079,25833,0.007404222373620001,BENZENE
2020-11-05,AL,01025,76.20015240030479,6019.812039624079,25833,0.0017016913839470002,NICKELCOMPOUNDS
2020-11-05,AL,01025,76.20015240030479,6019.812039624079,25833,0.001816495767604,TRICHLOROETHYLENE
2020-11-05,AL,01027,98.22440498677747,6037.023044956555,13932,0.011943315956563998,TOTAL
2020-11-05,AL,01027,98.22440498677747,6037.023044956555,13932,0.008384924545079999,BENZENE
