datetimeobject,variable,value
2020-01-30,6d,0.0
2020-01-31,6d,0.0
2020-02-01,6d,0.0
2020-02-02,6d,0.0
2020-02-03,6d,0.0
2020-02-04,6d,0.0
2020-02-05,6d,0.0
2020-02-06,6d,0.0
2020-02-07,6d,0.0
2020-02-08,6d,0.0
2020-02-09,6d,0.0
2020-02-10,6d,0.0
2020-02-11,6d,0.0
2020-02-12,6d,0.0
2020-02-13,6d,0.0
2020-02-14,6d,0.0
2020-02-15,6d,0.0
2020-02-16,6d,0.0
2020-02-17,6d,0.0
2020-02-18,6d,0.0
2020-02-19,6d,0.0
2020-02-20,6d,0.0
2020-02-21,6d,0.0
2020-02-22,6d,0.0
2020-02-23,6d,0.0
2020-02-24,6d,0.0
2020-02-25,6d,0.0
2020-02-26,6d,0.0
2020-02-27,6d,0.0
2020-02-28,6d,1.5
2020-02-29,6d,1.75
2020-03-01,6d,2.0
2020-03-02,6d,2.75
2020-03-03,6d,3.0
2020-03-04,6d,3.0
2020-03-05,6d,3.0
2020-03-06,6d,3.75
2020-03-07,6d,3.75
2020-03-08,6d,4.0
2020-03-09,6d,4.0
2020-03-10,6d,4.0
2020-03-11,6d,5.5
2020-03-12,6d,5.5
2020-03-13,6d,5.5
2020-03-14,6d,7.5
2020-03-15,6d,8.75
2020-03-16,6d,13.5
2020-03-17,6d,19.5
2020-03-18,6d,21.75
2020-03-19,6d,28.75
2020-03-20,6d,42.25
2020-03-21,6d,57.25
2020-03-22,6d,66.25
2020-03-23,6d,89.75
2020-03-24,6d,131.5
2020-03-25,6d,209.0
2020-03-26,6d,231.75
2020-03-27,6d,291.25
2020-03-28,6d,378.5
2020-03-29,6d,487.25
2020-03-30,6d,518.25
2020-03-31,6d,562.5
2020-04-01,6d,790.0
2020-04-02,6d,956.25
2020-04-03,6d,1108.75
2020-04-04,6d,1231.5
2020-04-05,6d,1278.5
2020-04-06,6d,1278.5
2020-04-07,6d,1401.25
2020-04-08,6d,1818.0
2020-04-09,6d,1953.0
2020-04-10,6d,1968.0
2020-04-11,6d,1979.5
2020-04-12,6d,1979.5
2020-04-13,6d,1979.5
2020-04-14,6d,2036.75
2020-04-15,6d,2229.0
2020-04-16,6d,2250.5
2020-04-17,6d,2250.5
2020-04-18,6d,2250.5
2020-04-19,6d,2250.5
2020-04-20,6d,2125.0
2020-04-21,6d,2125.0
2020-04-22,6d,2074.0
