datetimeobject,epochmilli,STUSPS,COUNTYGEOID,positiveRate,deathRate
2020-06-12,1591920000000,OK,40115,115.65521894175475,6.425289941208597
2020-06-13,1592006400000,OK,40115,118.86786391235906,6.425289941208597
2020-06-14,1592092800000,OK,40115,118.86786391235906,6.425289941208597
2020-06-15,1592179200000,OK,40115,118.86786391235906,6.425289941208597
2020-06-16,1592265600000,OK,40115,131.71844379477625,6.425289941208597
2020-06-17,1592352000000,OK,40115,134.93108876538054,6.425289941208597
2020-06-18,1592438400000,OK,40115,134.93108876538054,6.425289941208597
2020-06-19,1592524800000,OK,40115,134.93108876538054,6.425289941208597
2020-06-20,1592611200000,OK,40115,138.14373373598482,6.425289941208597
2020-06-21,1592697600000,OK,40115,138.14373373598482,6.425289941208597
2020-06-22,1592784000000,OK,40115,138.14373373598482,6.425289941208597
2020-06-23,1592870400000,OK,40115,138.14373373598482,6.425289941208597
2020-06-24,1592956800000,OK,40115,138.14373373598482,6.425289941208597
2020-06-25,1593043200000,OK,40115,141.3563787065891,6.425289941208597
2020-06-26,1593129600000,OK,40115,141.3563787065891,6.425289941208597
2020-06-27,1593216000000,OK,40115,141.3563787065891,6.425289941208597
2020-06-28,1593302400000,OK,40115,150.99431361840203,6.425289941208597
2020-06-29,1593388800000,OK,40115,160.63224853021492,6.425289941208597
2020-06-30,1593475200000,OK,40115,224.8851479423009,6.425289941208597
2020-07-01,1593561600000,OK,40115,234.5230828541138,6.425289941208597
2020-07-02,1593648000000,OK,40115,244.1610177659267,6.425289941208597
2020-07-03,1593734400000,OK,40115,247.37366273653097,6.425289941208597
2020-07-04,1593820800000,OK,40115,257.01159764834387,6.425289941208597
2020-07-05,1593907200000,OK,40115,260.2242426189482,6.425289941208597
2020-07-06,1593993600000,OK,40115,273.07482250136536,6.425289941208597
2020-07-07,1594080000000,OK,40115,385.5173964725158,6.425289941208597
2020-07-08,1594166400000,OK,40115,388.7300414431201,6.425289941208597
2020-07-09,1594252800000,OK,40115,424.0691361197674,6.425289941208597
2020-07-10,1594339200000,OK,40115,440.13236097278894,6.425289941208597
2020-07-11,1594425600000,OK,40115,452.9829408552061,6.425289941208597
2020-07-12,1594512000000,OK,40115,475.4714556494362,6.425289941208597
2020-07-13,1594598400000,OK,40115,504.38526038487487,6.425289941208597
2020-07-14,1594684800000,OK,40115,587.9140296205866,6.425289941208597
2020-07-15,1594771200000,OK,40115,610.4025444148167,6.425289941208597
2020-07-16,1594857600000,OK,40115,626.4657692678383,6.425289941208597
2020-07-17,1594944000000,OK,40115,652.1669290326726,6.425289941208597
2020-07-18,1595030400000,OK,40115,703.5692485623414,6.425289941208597
2020-07-19,1595116800000,OK,40115,703.5692485623414,6.425289941208597
2020-07-20,1595203200000,OK,40115,703.5692485623414,6.425289941208597
2020-07-21,1595289600000,OK,40115,719.6324734153629,6.425289941208597
2020-07-22,1595376000000,OK,40115,748.5462781508015,6.425289941208597
2020-07-23,1595462400000,OK,40115,783.8853728274489,6.425289941208597
2020-07-24,1595548800000,OK,40115,796.735952709866,6.425289941208597
2020-07-25,1595635200000,OK,40115,835.2876923571176,6.425289941208597
2020-07-26,1595721600000,OK,40115,864.2014970925563,6.425289941208597
2020-07-27,1595808000000,OK,40115,889.9026568573908,6.425289941208597
2020-07-28,1595894400000,OK,40115,954.1555562694766,6.425289941208597
2020-07-29,1595980800000,OK,40115,976.6440710637067,6.425289941208597
2020-07-30,1596067200000,OK,40115,999.1325858579368,6.425289941208597
2020-07-31,1596153600000,OK,40115,1050.5349053876055,6.425289941208597
2020-08-01,1596240000000,OK,40115,1082.6613550936486,6.425289941208597
2020-08-02,1596326400000,OK,40115,1108.3625148584829,6.425289941208597
2020-08-03,1596412800000,OK,40115,1114.7878047996915,6.425289941208597
2020-08-04,1596499200000,OK,40115,1118.000449770296,6.425289941208597
2020-08-05,1596585600000,OK,40115,1130.851029652713,6.425289941208597
2020-08-06,1596672000000,OK,40115,1150.1268994763388,9.637934911812895
2020-08-07,1596758400000,OK,40115,1179.0407042117777,9.637934911812895
2020-08-08,1596844800000,OK,40115,1182.253349182382,9.637934911812895
2020-08-09,1596931200000,OK,40115,1185.465994152986,9.637934911812895
2020-08-10,1597017600000,OK,40115,1191.8912840941948,9.637934911812895
2020-08-11,1597104000000,OK,40115,1243.2936036238636,9.637934911812895
2020-08-12,1597190400000,OK,40115,1268.994763388698,9.637934911812895
2020-08-13,1597276800000,OK,40115,1288.2706332123237,9.637934911812895
2020-08-14,1597363200000,OK,40115,1301.1212130947408,9.637934911812895
2020-08-15,1597449600000,OK,40115,1339.6729527419925,9.637934911812895
2020-08-16,1597536000000,OK,40115,1339.6729527419925,9.637934911812895
2020-08-17,1597622400000,OK,40115,1342.8855977125968,9.637934911812895
2020-08-18,1597708800000,OK,40115,1381.4373373598482,9.637934911812895
2020-08-19,1597795200000,OK,40115,1391.0752722716613,9.637934911812895
2020-08-20,1597881600000,OK,40115,1419.9890770071,9.637934911812895
2020-08-21,1597968000000,OK,40115,1464.9661065955602,9.637934911812895
2020-08-22,1598054400000,OK,40115,1484.241976419186,12.850579882417193
2020-08-23,1598140800000,OK,40115,1490.6672663603945,12.850579882417193
2020-08-24,1598227200000,OK,40115,1509.9431361840204,12.850579882417193
2020-08-25,1598313600000,OK,40115,1529.2190060076462,12.850579882417193
2020-08-26,1598400000000,OK,40115,1567.7707456548978,12.850579882417193
2020-08-27,1598486400000,OK,40115,1583.8339705079193,12.850579882417193
2020-08-28,1598572800000,OK,40115,1603.109840331545,12.850579882417193
2020-08-29,1598659200000,OK,40115,1657.7248048318181,12.850579882417193
2020-08-30,1598745600000,OK,40115,1670.5753847142353,12.850579882417193
2020-08-31,1598832000000,OK,40115,1683.4259645966524,12.850579882417193
2020-09-01,1598918400000,OK,40115,1705.9144793908827,12.850579882417193
2020-09-02,1599004800000,OK,40115,1747.6788640087382,12.850579882417193
2020-09-03,1599091200000,OK,40115,1783.0179586853856,12.850579882417193
2020-09-04,1599177600000,OK,40115,1850.483503068076,12.850579882417193
2020-09-05,1599264000000,OK,40115,1927.586982362579,12.850579882417193
2020-01-22,1579651200000,OK,40117,0.0,0.0
2020-01-23,1579737600000,OK,40117,0.0,0.0
2020-01-24,1579824000000,OK,40117,0.0,0.0
2020-01-25,1579910400000,OK,40117,0.0,0.0
2020-01-26,1579996800000,OK,40117,0.0,0.0
2020-01-27,1580083200000,OK,40117,0.0,0.0
2020-01-28,1580169600000,OK,40117,0.0,0.0
2020-01-29,1580256000000,OK,40117,0.0,0.0
2020-01-30,1580342400000,OK,40117,0.0,0.0
2020-01-31,1580428800000,OK,40117,0.0,0.0
2020-02-01,1580515200000,OK,40117,0.0,0.0
2020-02-02,1580601600000,OK,40117,0.0,0.0
2020-02-03,1580688000000,OK,40117,0.0,0.0
2020-02-04,1580774400000,OK,40117,0.0,0.0
2020-02-05,1580860800000,OK,40117,0.0,0.0
2020-02-06,1580947200000,OK,40117,0.0,0.0
2020-02-07,1581033600000,OK,40117,0.0,0.0
2020-02-08,1581120000000,OK,40117,0.0,0.0
2020-02-09,1581206400000,OK,40117,0.0,0.0
2020-02-10,1581292800000,OK,40117,0.0,0.0
2020-02-11,1581379200000,OK,40117,0.0,0.0
2020-02-12,1581465600000,OK,40117,0.0,0.0
2020-02-13,1581552000000,OK,40117,0.0,0.0
2020-02-14,1581638400000,OK,40117,0.0,0.0
2020-02-15,1581724800000,OK,40117,0.0,0.0
2020-02-16,1581811200000,OK,40117,0.0,0.0
2020-02-17,1581897600000,OK,40117,0.0,0.0
2020-02-18,1581984000000,OK,40117,0.0,0.0
2020-02-19,1582070400000,OK,40117,0.0,0.0
2020-02-20,1582156800000,OK,40117,0.0,0.0
2020-02-21,1582243200000,OK,40117,0.0,0.0
2020-02-22,1582329600000,OK,40117,0.0,0.0
2020-02-23,1582416000000,OK,40117,0.0,0.0
2020-02-24,1582502400000,OK,40117,0.0,0.0
2020-02-25,1582588800000,OK,40117,0.0,0.0
2020-02-26,1582675200000,OK,40117,0.0,0.0
2020-02-27,1582761600000,OK,40117,0.0,0.0
2020-02-28,1582848000000,OK,40117,0.0,0.0
2020-02-29,1582934400000,OK,40117,0.0,0.0
2020-03-01,1583020800000,OK,40117,0.0,0.0
2020-03-02,1583107200000,OK,40117,0.0,0.0
2020-03-03,1583193600000,OK,40117,0.0,0.0
2020-03-04,1583280000000,OK,40117,0.0,0.0
2020-03-05,1583366400000,OK,40117,0.0,0.0
2020-03-06,1583452800000,OK,40117,0.0,0.0
2020-03-07,1583539200000,OK,40117,0.0,0.0
2020-03-08,1583625600000,OK,40117,0.0,0.0
2020-03-09,1583712000000,OK,40117,0.0,0.0
2020-03-10,1583798400000,OK,40117,0.0,0.0
2020-03-11,1583884800000,OK,40117,0.0,0.0
2020-03-12,1583971200000,OK,40117,0.0,0.0
2020-03-13,1584057600000,OK,40117,0.0,0.0
2020-03-14,1584144000000,OK,40117,0.0,0.0
2020-03-15,1584230400000,OK,40117,0.0,0.0
2020-03-16,1584316800000,OK,40117,0.0,0.0
2020-03-17,1584403200000,OK,40117,6.106497313141182,0.0
2020-03-18,1584489600000,OK,40117,6.106497313141182,0.0
2020-03-19,1584576000000,OK,40117,6.106497313141182,0.0
2020-03-20,1584662400000,OK,40117,6.106497313141182,0.0
2020-03-21,1584748800000,OK,40117,12.212994626282365,0.0
2020-03-22,1584835200000,OK,40117,18.319491939423546,6.106497313141182
2020-03-23,1584921600000,OK,40117,18.319491939423546,6.106497313141182
2020-03-24,1585008000000,OK,40117,24.42598925256473,6.106497313141182
2020-03-25,1585094400000,OK,40117,42.745481191988276,6.106497313141182
2020-03-26,1585180800000,OK,40117,61.06497313141182,6.106497313141182
2020-03-27,1585267200000,OK,40117,85.49096238397655,6.106497313141182
2020-03-28,1585353600000,OK,40117,85.49096238397655,6.106497313141182
2020-03-29,1585440000000,OK,40117,91.59745969711773,6.106497313141182
2020-03-30,1585526400000,OK,40117,91.59745969711773,6.106497313141182
2020-03-31,1585612800000,OK,40117,91.59745969711773,6.106497313141182
2020-04-01,1585699200000,OK,40117,91.59745969711773,6.106497313141182
2020-04-02,1585785600000,OK,40117,91.59745969711773,6.106497313141182
2020-04-03,1585872000000,OK,40117,97.70395701025892,6.106497313141182
2020-04-04,1585958400000,OK,40117,97.70395701025892,6.106497313141182
2020-04-05,1586044800000,OK,40117,134.34294088910602,6.106497313141182
2020-04-06,1586131200000,OK,40117,134.34294088910602,6.106497313141182
2020-04-07,1586217600000,OK,40117,140.4494382022472,6.106497313141182
2020-04-08,1586304000000,OK,40117,140.4494382022472,6.106497313141182
2020-04-09,1586390400000,OK,40117,146.55593551538837,6.106497313141182
2020-04-10,1586476800000,OK,40117,158.76893014167072,12.212994626282365
2020-04-11,1586563200000,OK,40117,158.76893014167072,12.212994626282365
2020-04-12,1586649600000,OK,40117,158.76893014167072,12.212994626282365
2020-04-13,1586736000000,OK,40117,164.87542745481193,12.212994626282365
2020-04-14,1586822400000,OK,40117,164.87542745481193,12.212994626282365
2020-04-15,1586908800000,OK,40117,164.87542745481193,12.212994626282365
2020-04-16,1586995200000,OK,40117,170.9819247679531,12.212994626282365
2020-04-17,1587081600000,OK,40117,170.9819247679531,12.212994626282365
2020-04-18,1587168000000,OK,40117,170.9819247679531,12.212994626282365
2020-04-19,1587254400000,OK,40117,170.9819247679531,12.212994626282365
2020-04-20,1587340800000,OK,40117,170.9819247679531,12.212994626282365
2020-04-21,1587427200000,OK,40117,170.9819247679531,12.212994626282365
2020-04-22,1587513600000,OK,40117,170.9819247679531,12.212994626282365
2020-04-23,1587600000000,OK,40117,170.9819247679531,12.212994626282365
2020-04-24,1587686400000,OK,40117,170.9819247679531,12.212994626282365
2020-04-25,1587772800000,OK,40117,170.9819247679531,12.212994626282365
2020-04-26,1587859200000,OK,40117,177.08842208109428,12.212994626282365
2020-04-27,1587945600000,OK,40117,177.08842208109428,12.212994626282365
2020-04-28,1588032000000,OK,40117,177.08842208109428,12.212994626282365
2020-04-29,1588118400000,OK,40117,177.08842208109428,12.212994626282365
2020-04-30,1588204800000,OK,40117,177.08842208109428,12.212994626282365
2020-05-01,1588291200000,OK,40117,177.08842208109428,12.212994626282365
2020-05-02,1588377600000,OK,40117,177.08842208109428,12.212994626282365
2020-05-03,1588464000000,OK,40117,177.08842208109428,12.212994626282365
2020-05-04,1588550400000,OK,40117,177.08842208109428,12.212994626282365
2020-05-05,1588636800000,OK,40117,177.08842208109428,12.212994626282365
2020-05-06,1588723200000,OK,40117,177.08842208109428,12.212994626282365
2020-05-07,1588809600000,OK,40117,177.08842208109428,12.212994626282365
2020-05-08,1588896000000,OK,40117,177.08842208109428,12.212994626282365
2020-05-09,1588982400000,OK,40117,177.08842208109428,12.212994626282365
2020-05-10,1589068800000,OK,40117,177.08842208109428,12.212994626282365
2020-05-11,1589155200000,OK,40117,177.08842208109428,12.212994626282365
2020-05-12,1589241600000,OK,40117,177.08842208109428,12.212994626282365
2020-05-13,1589328000000,OK,40117,177.08842208109428,12.212994626282365
