datetimeobject,epochmilli,STUSPS,positiveRate,deathRate,label
2020-12-26,1608940800000.0,MS,6888.868803275643,153.38613758921343,
2020-12-27,1609027200000.0,MS,6934.733442445254,154.76375678771458,
2020-12-28,1609113600000.0,MS,6991.887838948924,155.70456989888612,
2020-12-29,1609200000000.0,MS,7057.173548770576,158.56060970065678,
2020-12-30,1609286400000.0,MS,7158.747764308844,159.5014228118283,
2020-12-31,1609372800000.0,MS,7251.350654822726,160.84544154207333,
2021-01-01,1609459200000.0,MS,7337.871860582249,161.81985512150098,
2021-01-02,1609545600000.0,MS,7401.410346054582,162.59266589139187,
2021-01-03,1609632000000.0,MS,7461.35358142351,163.66788087558788,
2021-01-04,1609718400000.0,MS,7515.65193812541,164.1046869629175,
2021-01-05,1609804800000.0,MS,7575.023965533984,167.16232957422494,
2021-01-06,1609891200000.0,MS,7668.8028724368305,168.43914736795773,
2021-01-07,1609977600000.0,MS,7668.8028724368305,168.43914736795773,
2021-01-08,1610064000000.0,MS,7851.253415067593,171.3287876379845,
2021-01-09,1610150400000.0,MS,7958.875714891962,172.8744091777663,
2021-01-10,1610236800000.0,MS,8033.267151611025,173.61361947940108,
2021-01-11,1610323200000.0,MS,8074.494926161291,174.25202837626745,
2021-01-12,1610409600000.0,MS,8129.868497847386,177.54487426536778,
2021-01-13,1610496000000.0,MS,8195.12060720078,178.58648878130765,
2021-01-14,1610582400000.0,MS,8260.574319363714,179.9641079798088,
2021-01-15,1610668800000.0,MS,8339.26661601956,181.8121337338957,
2021-01-16,1610755200000.0,MS,8429.315870945977,184.1641665118245,
2021-01-17,1610841600000.0,MS,8483.278222965315,185.50818524206954,
2021-01-18,1610928000000.0,MS,8532.234105214491,185.6089866468379,
2021-01-19,1611014400000.0,MS,8572.31946384405,187.2890100596442,
2021-01-20,1611100800000.0,MS,8629.507460815974,189.43944002803622,
2021-01-21,1611187200000.0,MS,8706.452533122501,190.44745407572,
2021-01-22,1611273600000.0,MS,8775.33349304756,191.95947514724566,
2021-01-23,1611360000000.0,MS,8837.695962130929,193.26989340923456,
2021-01-24,1611446400000.0,MS,8877.882122165254,193.94190277435706,
2021-01-25,1611532800000.0,MS,8909.029756238682,194.10990511563767,
2021-01-26,1611619200000.0,MS,8957.817636146578,196.62994023484714,
2021-01-27,1611705600000.0,MS,9027.505007309781,198.78037020323916,
2021-01-28,1611792000000.0,MS,9088.120252043833,199.72118331441067,
2021-01-29,1611878400000.0,MS,9161.570875651723,200.99800110814346,
2021-01-30,1611964800000.0,MS,9212.912391147083,202.20761796536394,
2021-01-31,1612051200000.0,MS,9240.1623709028,203.11483060827936,
2021-02-01,1612137600000.0,MS,9263.85070102337,203.48443575909673,
2021-02-02,1612224000000.0,MS,9291.571087334672,206.0380713465623,
2021-02-03,1612310400000.0,MS,9318.149057725268,206.91168352122156,
2021-02-04,1612396800000.0,MS,9358.80562431518,207.71809475936854,
2021-02-05,1612483200000.0,MS,9399.462190905091,209.06211348961358,
2021-02-06,1612569600000.0,MS,9434.272276018439,210.5405340928831,
2021-02-07,1612656000000.0,MS,9464.512697448952,210.64133549765148,
2021-02-08,1612742400000.0,MS,9485.848994791591,210.67493596590762,
2021-02-09,1612828800000.0,MS,9507.857301499353,213.06056921209256,
2021-02-10,1612915200000.0,MS,9534.233669080411,213.9341813867518,
2021-02-11,1613001600000.0,MS,9564.843695661742,214.7069921566427,
2021-02-12,1613088000000.0,MS,9597.906556425769,215.95020948211936,
2021-02-13,1613174400000.0,MS,9621.225281395522,217.05902493457145,
2021-02-14,1613260800000.0,MS,9657.984193667724,217.12622587108373,
2021-02-15,1613347200000.0,MS,9676.262848399056,217.19342680759598,
2021-02-16,1613433600000.0,MS,9700.92559209905,218.43664413307263,
2021-02-17,1613520000000.0,MS,9723.90831238624,219.20945490296356,
2021-02-18,1613606400000.0,MS,9728.410775132563,219.4446581807564,
2021-02-19,1613692800000.0,MS,9740.506943704768,219.54545958552478,
2021-02-20,1613779200000.0,MS,9751.830301507081,220.18386848239118,
2021-02-21,1613865600000.0,MS,9765.3712902143,220.18386848239118,
2021-02-22,1613952000000.0,MS,9773.469003064027,220.18386848239118,
2021-02-23,1614038400000.0,MS,9785.161966017158,220.99027972053818,
2021-02-24,1614124800000.0,MS,9807.674279748762,221.93109283170972,
2021-02-25,1614211200000.0,MS,9838.586710544398,222.1998965777587,
2021-02-26,1614297600000.0,MS,9863.11505237137,223.03990828416187,
2021-02-27,1614384000000.0,MS,9881.595309912238,224.04792233184563,
2021-02-28,1614470400000.0,MS,9905.250039564551,224.48472841917524,
2021-03-01,1614556800000.0,MS,9911.93653274752,224.48472841917524,
2021-03-02,1614643200000.0,MS,9922.016673224358,225.8959480859325,
2021-03-03,1614729600000.0,MS,9934.818451629943,226.5343569827989,
2021-03-04,1614816000000.0,MS,9950.87947545637,227.23996681617754,
2021-03-05,1614902400000.0,MS,9970.770952663996,227.87837571304394,
2021-03-06,1614988800000.0,MS,9990.091221911269,228.6175860146787,
2021-03-07,1615075200000.0,MS,9998.860944126118,228.71838741944705,
2021-03-08,1615161600000.0,MS,10001.212976904046,228.71838741944705,
2021-03-09,1615248000000.0,MS,10013.208344071483,229.59199959410637,
2021-03-10,1615334400000.0,MS,10027.891748699409,229.96160474492373,
2021-03-11,1615420800000.0,MS,10050.706466645319,230.60001364179013,
2021-03-12,1615507200000.0,MS,10076.310023456488,231.23842253865652,
2021-03-13,1615593600000.0,MS,10099.52794702147,231.67522862598614,
2021-03-14,1615680000000.0,MS,10106.315241609207,231.84323096726678,
2021-03-15,1615766400000.0,MS,10109.675288434819,231.91043190377903,
2021-03-16,1615852800000.0,MS,10122.141062157843,232.8176445466944,
2021-03-17,1615939200000.0,MS,10133.968426983998,233.05284782448726,
2021-03-18,1616025600000.0,MS,10144.78777776247,233.1200487609995,
2021-03-19,1616112000000.0,MS,10157.589556168055,233.35525203879243,
2021-03-20,1616198400000.0,MS,10169.652124272003,233.69125672135365,
2021-03-21,1616284800000.0,MS,10174.826596383447,233.7248571896098,
2021-03-22,1616371200000.0,MS,10177.951439931267,233.7248571896098,
