datetimeobject,STUSPS,range,midpoint,median,score,rank
2020-02-14,RI,0.0,0.0,0.0,0.0,1.0
2020-02-14,SC,0.0,0.0,0.0,0.0,1.0
2020-02-14,SD,0.0,0.0,0.0,0.0,1.0
2020-02-14,TN,0.0,0.0,0.0,0.0,1.0
2020-02-14,TX,0.0,0.0,0.0,0.0,1.0
2020-02-14,UT,0.0,0.0,0.0,0.0,1.0
2020-02-14,VA,0.0,0.0,0.0,0.0,1.0
2020-02-14,VT,0.0,0.0,0.0,0.0,1.0
2020-02-14,WA,0.0,0.0,0.0,0.0,1.0
2020-02-14,WI,0.0,0.0,0.0,0.0,1.0
2020-02-14,WV,0.0,0.0,0.0,0.0,1.0
2020-02-14,WY,0.0,0.0,0.0,0.0,1.0
2020-02-15,AK,0.0,0.0,0.0,0.0,1.0
2020-02-15,AL,0.0,0.0,0.0,0.0,1.0
2020-02-15,AR,0.0,0.0,0.0,0.0,1.0
2020-02-15,AZ,0.0,0.0,0.0,0.0,1.0
2020-02-15,CA,0.0,0.0,0.0,0.0,1.0
2020-02-15,CO,0.0,0.0,0.0,0.0,1.0
2020-02-15,CT,0.0,0.0,0.0,0.0,1.0
2020-02-15,DC,0.0,0.0,0.0,0.0,1.0
2020-02-15,DE,0.0,0.0,0.0,0.0,1.0
2020-02-15,FL,0.0,0.0,0.0,0.0,1.0
2020-02-15,GA,0.0,0.0,0.0,0.0,1.0
2020-02-15,HI,0.0,0.0,0.0,0.0,1.0
2020-02-15,IA,0.0,0.0,0.0,0.0,1.0
2020-02-15,ID,0.0,0.0,0.0,0.0,1.0
2020-02-15,IL,0.0,0.0,0.0,0.0,1.0
2020-02-15,IN,0.0,0.0,0.0,0.0,1.0
2020-02-15,KS,0.0,0.0,0.0,0.0,1.0
2020-02-15,KY,0.0,0.0,0.0,0.0,1.0
2020-02-15,LA,0.0,0.0,0.0,0.0,1.0
2020-02-15,MA,0.0,0.0,0.0,0.0,1.0
2020-02-15,MD,0.0,0.0,0.0,0.0,1.0
2020-02-15,ME,0.0,0.0,0.0,0.0,1.0
2020-02-15,MI,0.0,0.0,0.0,0.0,1.0
2020-02-15,MN,0.0,0.0,0.0,0.0,1.0
2020-02-15,MO,0.0,0.0,0.0,0.0,1.0
2020-02-15,MS,0.0,0.0,0.0,0.0,1.0
2020-02-15,MT,0.0,0.0,0.0,0.0,1.0
2020-02-15,NC,0.0,0.0,0.0,0.0,1.0
2020-02-15,ND,0.0,0.0,0.0,0.0,1.0
2020-02-15,NE,0.0,0.0,0.0,0.0,1.0
2020-02-15,NH,0.0,0.0,0.0,0.0,1.0
2020-02-15,NJ,0.0,0.0,0.0,0.0,1.0
2020-02-15,NM,0.0,0.0,0.0,0.0,1.0
2020-02-15,NV,0.0,0.0,0.0,0.0,1.0
2020-02-15,NY,0.0,0.0,0.0,0.0,1.0
2020-02-15,OH,0.0,0.0,0.0,0.0,1.0
2020-02-15,OK,0.0,0.0,0.0,0.0,1.0
2020-02-15,OR,0.0,0.0,0.0,0.0,1.0
2020-02-15,PA,0.0,0.0,0.0,0.0,1.0
2020-02-15,PR,0.0,0.0,0.0,0.0,1.0
2020-02-15,RI,0.0,0.0,0.0,0.0,1.0
2020-02-15,SC,0.0,0.0,0.0,0.0,1.0
2020-02-15,SD,0.0,0.0,0.0,0.0,1.0
2020-02-15,TN,0.0,0.0,0.0,0.0,1.0
2020-02-15,TX,0.0,0.0,0.0,0.0,1.0
2020-02-15,UT,0.0,0.0,0.0,0.0,1.0
2020-02-15,VA,0.0,0.0,0.0,0.0,1.0
2020-02-15,VT,0.0,0.0,0.0,0.0,1.0
2020-02-15,WA,0.0,0.0,0.0,0.0,1.0
2020-02-15,WI,0.0,0.0,0.0,0.0,1.0
2020-02-15,WV,0.0,0.0,0.0,0.0,1.0
2020-02-15,WY,0.0,0.0,0.0,0.0,1.0
2020-02-16,AK,0.0,0.0,0.0,0.0,1.0
2020-02-16,AL,0.0,0.0,0.0,0.0,1.0
2020-02-16,AR,0.0,0.0,0.0,0.0,1.0
2020-02-16,AZ,0.0,0.0,0.0,0.0,1.0
2020-02-16,CA,0.0,0.0,0.0,0.0,1.0
2020-02-16,CO,0.0,0.0,0.0,0.0,1.0
2020-02-16,CT,0.0,0.0,0.0,0.0,1.0
