datetimeobject,STUSPS,range,midpoint,median,score,rank
2021-02-13,VT,26.045733407696627,13.022866703848313,9.879125213822196,42.45264372599606,1.0
2021-02-13,SC,18.073175440697398,9.036587720348699,6.692169938556239,26.155759924492404,2.0
2021-02-13,VA,18.042773230288837,9.021386615144419,6.407406387648207,26.09657309492266,3.0
2021-02-13,NY,16.992709127163867,8.496354563581933,6.086396066411018,24.06834047078501,4.0
2021-02-13,ME,16.940508353090383,8.470254176545192,5.6218903338345685,23.968343445784505,5.0
2021-02-13,NC,16.043048305323794,8.021524152661897,5.763762825832704,22.2619404831444,6.0
2021-02-13,NH,15.67591513938344,7.83795756969172,5.518838702157604,21.57104263612931,7.0
2021-02-13,TX,15.458850248069346,7.729425124034673,5.190200498855931,21.164570201446892,8.0
2021-02-13,NJ,14.365580419881491,7.1827902099407455,5.2413195741449226,19.140951444100917,9.0
2021-02-13,KY,13.58990536277603,6.794952681388015,4.810741689857082,17.73025529184683,10.0
2021-02-13,MA,13.112776018817716,6.556388009408858,4.538540238923484,16.873435102397675,11.0
2021-02-13,DE,12.888998129258688,6.444499064629344,4.6255798362503935,16.474550427208687,12.0
2021-02-13,GA,12.850446750378895,6.425223375189447,4.360168521420224,16.406027720597375,13.0
2021-02-13,OK,12.646212611785524,6.323106305892762,4.308227672155738,16.043982928863443,14.0
2021-02-13,CT,12.413903302581005,6.2069516512905025,4.17038175177111,15.634175825169988,15.0
2021-02-13,PA,12.361709575628154,6.180854787814077,4.5138734247318375,15.542400674896315,16.0
2021-02-13,AZ,12.327339287832865,6.163669643916433,3.4466553715359605,15.482025616391944,17.0
2021-02-13,WV,12.029221493640788,6.014610746820394,3.8841848369585614,14.960374762551995,18.0
2021-02-13,FL,11.952290472864535,5.976145236432267,4.40101348346622,14.826355758324116,19.0
2021-02-13,DC,11.147719459087794,5.573859729543897,3.959616965086913,13.439885353773734,20.0
2021-02-13,AR,11.081021529451055,5.540510764725528,3.995917110079958,13.326224164308723,21.0
2021-02-13,CA,10.743727698064694,5.371863849032347,3.278349492195485,12.754535131988456,22.0
2021-02-13,WA,10.506921789692584,5.253460894846292,3.9630750618319968,12.356319997955385,23.0
2021-02-13,RI,10.102887971493917,5.051443985746959,3.340566316603117,11.68308735079212,24.0
2021-02-13,LA,10.080104351302053,5.040052175651026,3.1801053847116494,11.645361174263646,25.0
2021-02-13,AL,10.036758720163636,5.018379360081818,3.1835135658319906,11.573658604368392,26.0
2021-02-13,OR,10.005222162563722,5.002611081281861,3.978505250844154,11.521549464744197,27.0
2021-02-13,MD,9.86049686859992,4.93024843429996,3.363166298882616,11.28305379028842,28.0
2021-02-13,OH,9.78466683606974,4.89233341803487,3.3970558376545794,11.158515036944603,29.0
2021-02-13,MS,9.63980901109252,4.81990450554626,3.1088847443310375,10.921427867153986,30.0
2021-02-13,PR,8.995094195918538,4.497547097959269,2.81439477785304,9.879668787969447,31.0
2021-02-13,UT,8.245151103065906,4.122575551532953,3.074494486117433,8.69708961242237,32.0
2021-02-13,HI,7.958111076247277,3.9790555381236383,2.738952190959224,8.253323850516297,33.0
2021-02-13,CO,7.82645249558741,3.913226247793705,3.279792534304365,8.051499560785569,34.0
2021-02-13,TN,7.72593339830505,3.862966699152525,2.9962961207083953,7.8981546664491376,35.0
2021-02-13,NM,7.4869880940315285,3.7434940470157643,2.632668493255384,7.536277156652979,36.0
2021-02-13,NV,7.316736699638697,3.6583683498193484,2.5022649094394276,7.280754534253918,37.0
2021-02-13,KS,7.293776157688619,3.6468880788443094,2.511157316275149,7.246444668328603,38.0
2021-02-13,IN,6.975442004281299,3.4877210021406495,2.515855655068248,6.774534261624868,39.0
2021-02-13,MT,6.862239014157223,3.4311195070786114,2.678462929892147,6.6084520580279555,40.0
2021-02-13,NE,6.302369121035079,3.1511845605175397,2.616317325383056,5.801096370845563,41.0
2021-02-13,IL,6.1413906388334105,3.0706953194167053,2.259458354038734,5.573469239461083,42.0
2021-02-13,AK,6.011249121162404,3.005624560581202,2.4735111103938308,5.390986097268564,43.0
2021-02-13,MI,5.724684970767702,2.862342485383851,2.0902916227210477,4.994179449286157,44.0
2021-02-13,ID,5.704804045512002,2.852402022756001,2.2041576808153955,4.966912272355609,45.0
2021-02-13,MO,5.639558368116333,2.8197791840581665,1.8926588484815234,4.877670271462645,46.0
2021-02-13,IA,5.051112217159898,2.525556108579949,1.9014370522381037,4.090412039811128,47.0
2021-02-13,WI,4.958563296942845,2.4792816484714226,1.8047640186687968,3.9696176172851807,48.0
2021-02-13,WY,4.948302789474748,2.474151394737374,1.473351877409192,3.9562785435575094,49.0
2021-02-13,MN,4.537846341619818,2.268923170809909,1.8137410916893346,3.4316385796520765,50.0
2021-02-13,SD,3.269425390756781,1.6347126953783906,1.4511930386985685,1.9365039503108452,51.0
2021-02-13,ND,2.0545320865305894,1.0272660432652947,0.6767220475166777,0.73968099028402,52.0
