datetimeobject,STUSPS,range,midpoint,median,score,rank
2020-10-21,ND,71.49084568439409,41.55187445510028,40.170940170940256,177.40861206496712,1.0
2020-10-21,MT,41.259347820990726,34.73755772792276,39.59390862944166,129.21946637755806,2.0
2020-10-21,KS,40.27623752394395,29.312430688577464,31.673582295988922,108.33175736665979,3.0
2020-10-21,SD,46.23137902789158,26.21166474614389,22.426470588235283,100.48657835889746,4.0
2020-10-21,HI,42.11229946524061,22.12566844919782,15.950920245398752,82.75751933848852,5.0
2020-10-21,WI,24.66701600834643,17.590156117964195,18.60627177700347,56.384664379386756,6.0
2020-10-21,AR,27.54501058818444,15.931198409611467,16.500332667997338,52.825008858309324,7.0
2020-10-21,MO,24.636832422067325,14.287528180145639,16.910137228862304,45.78070610208394,8.0
2020-10-21,WY,14.982456140350902,14.508771929824555,12.962962962962965,39.273503487087275,9.0
2020-10-21,TN,21.084562254993465,12.184991599775989,9.796672828096122,37.14644801206671,10.0
2020-10-21,UT,19.867186059746246,11.948245044525109,11.177644710578807,35.714133992891185,11.0
2020-10-21,AK,19.93603411513857,11.460554371002143,13.333333333333332,34.296039636185384,12.0
2020-10-21,WV,16.201372997711676,11.60945842868037,11.621621621621616,32.333456134273696,13.0
2020-10-21,NE,16.60120004948662,11.402789805765176,11.439842209072967,32.03585271722512,14.0
2020-10-21,IA,16.28621116455417,11.134002851457847,11.470795214637587,31.067417575637094,15.0
2020-10-21,OK,15.706205605159933,11.00740800292096,11.520737327188902,30.315016907196046,16.0
2020-10-21,PR,17.56737385321101,9.564936926605494,8.251748251748246,27.41352457342208,17.0
2020-10-21,KY,13.7053795877325,9.643036701860217,10.453808752025934,25.243429873446825,18.0
2020-10-21,ID,14.978590250329368,8.815052700922255,6.999999999999987,23.859014380304593,19.0
2020-10-21,NC,13.036819511284936,8.879415086944839,8.328855454056963,22.800363376601613,20.0
2020-10-21,OR,13.299764732885752,7.764532047971537,6.902356902356907,20.09263943409824,21.0
2020-10-21,FL,13.408233450044335,7.234260973573521,6.9096630392028375,18.779193472499077,22.0
2020-10-21,IN,9.787828450619152,6.484823316218665,7.509353287012282,14.792787388367659,23.0
2020-10-21,AL,10.868510763594948,6.007937705210856,6.37087599544937,14.33415645511921,24.0
2020-10-21,SC,9.106194783098296,5.836899631374342,5.520774046670475,12.89344820097433,25.0
2020-10-21,VA,8.614055200931546,5.984782879609556,5.618990384615418,12.887602695424746,26.0
2020-10-21,MN,8.211035159449636,5.981355007147775,5.6018518518518565,12.593617363347871,27.0
2020-10-21,TX,9.182974934408643,5.643067775041252,5.307946614423923,12.512663210243412,28.0
2020-10-21,GA,9.500600320526983,4.972319227783425,5.20976144776531,11.194455696613792,29.0
2020-10-21,MS,7.355742409840133,5.317732447430286,4.847104749512014,10.611435595748453,30.0
2020-10-21,WA,6.74616644335268,5.293583444990339,4.8231511254019495,10.105315329612965,31.0
2020-10-21,NV,7.557450528304308,4.946949563217585,5.03335354760464,10.00537320116365,32.0
2020-10-21,CA,8.532399585849557,4.602086652088015,4.070655827883361,9.86627842529942,33.0
2020-10-21,IL,7.004383381615968,4.6500434178509575,4.869527240965184,9.051477614005513,34.0
2020-10-21,NM,7.047249019477976,4.3801555589895145,5.133928571428565,8.552855258621666,35.0
2020-10-21,OH,6.193973112902944,4.555114635269193,3.331326510134456,8.306601100154772,36.0
2020-10-21,NH,6.620037770379454,3.5236940988649463,4.45434298440981,6.660138005744026,37.0
2020-10-21,CO,5.0311076644954795,3.3970425687805332,3.5175879396984917,5.488398438410404,38.0
2020-10-21,DE,4.911210423021453,3.05620581211134,2.9185867895545607,4.8640139987279625,39.0
2020-10-21,LA,5.048247783786271,2.9403569824238165,3.2269566767694835,4.760559125392121,40.0
2020-10-21,PA,4.674995473999035,3.066909501705389,3.1690565128328863,4.729874303852365,41.0
2020-10-21,RI,4.168633771251519,2.9471296552547286,3.72670807453414,4.20728795981826,42.0
2020-10-21,MI,4.145555802738777,2.8197560352822078,3.128041151119152,4.009797045231082,43.0
2020-10-21,AZ,3.5300975557461394,2.1767125857633127,1.932787741598504,2.745543105291456,44.0
2020-10-21,MA,3.5117644599055993,2.032720125984788,2.2477783585990516,2.5533375716473423,45.0
2020-10-21,ME,3.5460992907801554,1.7730496453900777,2.8169014084507045,2.2444117163901276,46.0
2020-10-21,MD,2.4176293347972697,1.6295026159262576,1.9854234732345053,1.438504453074461,47.0
2020-10-21,DC,2.3999043028813682,1.3559583916902964,1.2618296529968325,1.187045112786622,48.0
2020-10-21,CT,1.090785283711016,0.8308559707971084,0.8835873647007023,0.07219962296074017,49.0
2020-10-21,VT,0.0,0.0,0.0,0.0,50.0
2020-10-21,NY,0.7426278630976549,0.449259291851281,0.4852279397378277,-0.13368169234510116,51.0
2020-10-21,NJ,0.6280215026643695,0.505203547681032,0.5259900990099159,-0.23501102744828867,52.0
