datetimeobject,epochmilli,STUSPS,positiveRate,deathRate
2020-01-24,1579824000000,HI,0.0,0.0
2020-01-24,1579824000000,ID,0.0,0.0
2020-01-24,1579824000000,IL,0.007891525614195465,0.0
2020-01-24,1579824000000,IN,0.0,0.0
2020-01-24,1579824000000,IA,0.0,0.0
2020-01-24,1579824000000,KS,0.0,0.0
2020-01-24,1579824000000,KY,0.0,0.0
2020-01-24,1579824000000,LA,0.0,0.0
2020-01-24,1579824000000,ME,0.0,0.0
2020-01-24,1579824000000,MD,0.0,0.0
2020-01-24,1579824000000,MA,0.0,0.0
2020-01-24,1579824000000,MI,0.0,0.0
2020-01-24,1579824000000,MN,0.0,0.0
2020-01-24,1579824000000,MS,0.0,0.0
2020-01-24,1579824000000,MO,0.0,0.0
2020-01-24,1579824000000,MT,0.0,0.0
2020-01-24,1579824000000,NE,0.0,0.0
2020-01-24,1579824000000,NV,0.0,0.0
2020-01-24,1579824000000,NH,0.0,0.0
2020-01-24,1579824000000,NJ,0.0,0.0
2020-01-24,1579824000000,NM,0.0,0.0
2020-01-24,1579824000000,NY,0.0,0.0
2020-01-24,1579824000000,NC,0.0,0.0
2020-01-24,1579824000000,ND,0.0,0.0
2020-01-24,1579824000000,OH,0.0,0.0
2020-01-24,1579824000000,OK,0.0,0.0
2020-01-24,1579824000000,OR,0.0,0.0
2020-01-24,1579824000000,PA,0.0,0.0
2020-01-24,1579824000000,RI,0.0,0.0
2020-01-24,1579824000000,SC,0.0,0.0
2020-01-24,1579824000000,SD,0.0,0.0
2020-01-24,1579824000000,TN,0.0,0.0
2020-01-24,1579824000000,TX,0.0,0.0
2020-01-24,1579824000000,UT,0.0,0.0
2020-01-24,1579824000000,VT,0.0,0.0
2020-01-24,1579824000000,VA,0.0,0.0
2020-01-24,1579824000000,WA,0.0,0.0
2020-01-24,1579824000000,WV,0.0,0.0
2020-01-24,1579824000000,WI,0.0,0.0
2020-01-24,1579824000000,WY,0.0,0.0
2020-01-24,1579824000000,PR,0.0,0.0
