datetimeobject,epochmilli,STUSPS,COUNTYGEOID,positiveIncrease,positiveCumulative,deathIncrease,deathCumulative,positiveRate,deathRate,positiveIncreaseRate,deathIncreaseRate,ndays
2020-05-09,1588982400000,DC,11001,203.0,6102.0,7.0,311.0,864.6133398701237,44.06665825952286,28.76376728837023,0.9918540444265596,108
2020-05-10,1589068800000,DC,11001,170.0,6272.0,12.0,323.0,888.7012238061974,45.766979478539824,24.087883936073588,1.7003212190169592,109
2020-05-11,1589155200000,DC,11001,117.0,6389.0,5.0,328.0,905.2793556916127,46.47544665313022,16.578131885415353,0.7084671745903998,110
2020-05-12,1589241600000,DC,11001,96.0,6485.0,8.0,336.0,918.8819254437484,47.608994132474855,13.602569752135674,1.1335474793446394,111
2020-05-13,1589328000000,DC,11001,99.0,6584.0,14.0,350.0,932.9095755006383,49.592702221327976,14.027650056889915,1.9837080888531191,112
2020-05-14,1589414400000,DC,11001,152.0,6736.0,8.0,358.0,954.4469776081866,50.726249700672625,21.53740210754815,1.1335474793446394,113
2020-05-15,1589500800000,DC,11001,135.0,6871.0,10.0,368.0,973.5755913221274,52.14318404985342,19.12861371394079,1.4169343491807995,114
2020-05-16,1589587200000,DC,11001,171.0,7042.0,7.0,375.0,997.8051686931188,53.13503809427998,24.22957737099167,0.9918540444265596,115
2020-05-17,1589673600000,DC,11001,81.0,7123.0,8.0,383.0,1009.2823369214835,54.26858557362462,11.477168228364475,1.1335474793446394,116
2020-05-18,1589760000000,DC,11001,147.0,7270.0,9.0,392.0,1030.1112718544412,55.54382648788734,20.82893493295775,1.2752409142627195,117
2020-05-19,1589846400000,DC,11001,164.0,7434.0,8.0,400.0,1053.3489951810063,56.67737396723197,23.23772332656511,1.1335474793446394,118
2020-05-20,1589932800000,DC,11001,117.0,7551.0,7.0,407.0,1069.9271270664217,57.66922801165854,16.578131885415353,0.9918540444265596,119
2020-05-21,1590019200000,DC,11001,237.0,7788.0,5.0,412.0,1103.5084711420066,58.377695186248935,33.58134407558495,0.7084671745903998,120
2020-05-22,1590105600000,DC,11001,105.0,7893.0,6.0,418.0,1118.3862818084049,59.227855795757414,14.877810666398394,0.8501606095084796,121
2020-05-23,1590192000000,DC,11001,73.0,7966.0,9.0,427.0,1128.7299025574248,60.50309671002014,10.343620749019836,1.2752409142627195,122
2020-05-24,1590278400000,DC,11001,144.0,8110.0,5.0,432.0,1149.1337571856284,61.211563884610534,20.40385462820351,0.7084671745903998,123
