datetimeobject,epochmilli,STUSPS,COUNTYGEOID,positiveIncrease,positiveCumulative,deathIncrease,deathCumulative,positiveRate,deathRate,positiveIncreaseRate,deathIncreaseRate,ndays
2020-01-22,1579651200000,DC,11001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-01-23,1579737600000,DC,11001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2020-01-24,1579824000000,DC,11001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
2020-01-25,1579910400000,DC,11001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
2020-01-26,1579996800000,DC,11001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
2020-01-27,1580083200000,DC,11001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
2020-01-28,1580169600000,DC,11001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6
2020-01-29,1580256000000,DC,11001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7
2020-01-30,1580342400000,DC,11001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
2020-01-31,1580428800000,DC,11001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
